BugId,CId,project,Roberta_MLM,Roberta_QA,Roberta_Electra,Reformer_MLM,Reformer_QA,Reformer_Electra
9112,378675,JDT,11,11,1,11,9,1
9228,381735,JDT,8,8,4,8,11,10
9440,383214,JDT,10,8,1,10,11,11
16230,371841,JDT,9,11,1,9,11,11
17317,376992,JDT,1,11,5,1,11,3
17603,376074,JDT,4,3,4,4,8,8
17916,373779,JDT,11,3,3,11,6,8
18034,375411,JDT,7,4,7,7,5,6
18510,369597,JDT,10,10,3,10,11,11
19702,367200,JDT,1,10,3,1,7,4
20508,368016,JDT,10,3,2,10,11,1
23188,365874,JDT,10,1,1,10,11,10
23528,364242,JDT,11,7,4,11,9,9
23528,364446,JDT,11,7,5,11,9,9
23553,353277,JDT,5,3,4,5,2,3
24700,278613,SWT,10,9,9,10,9,11
25324,346188,JDT,11,11,1,11,11,11
26366,350676,Eclipse_Platform_UI,3,10,6,3,2,7
26435,350523,Eclipse_Platform_UI,5,11,5,5,10,11
26452,356235,JDT,10,2,3,10,11,10
27075,354144,JDT,7,9,1,7,7,9
27807,348993,JDT,4,7,9,4,4,2
28250,352257,JDT,1,6,2,1,2,2
28369,352869,JDT,11,8,2,11,11,2
28684,265200,SWT,5,8,7,5,7,3
28720,338640,JDT,5,2,4,5,6,4
28824,351441,JDT,6,1,4,6,11,10
29107,346392,Eclipse_Platform_UI,5,4,6,5,7,11
29161,351849,JDT,11,10,1,11,11,11
29698,350931,JDT,11,1,3,11,10,9
29711,347616,JDT,5,9,3,5,9,11
30786,348534,JDT,5,5,5,5,6,7
31150,344556,JDT,10,1,2,10,10,10
32006,272952,SWT,11,11,5,11,7,6
32626,329205,JDT,3,5,9,3,10,4
32828,262548,SWT,11,11,2,11,11,1
32831,336192,JDT,10,2,5,10,9,8
32906,326400,JDT,1,11,11,1,2,10
32987,335325,JDT,11,9,1,11,11,11
33034,336345,JDT,11,8,1,11,11,11
33166,278919,SWT,1,2,1,1,3,1
33359,278103,SWT,1,11,8,1,11,1
33529,285141,SWT,3,10,3,3,9,2
34159,203388,SWT,11,6,7,11,6,1
34335,325584,JDT,11,2,1,11,11,11
