,Roberta_MLM_BLDS,Roberta_MLM_Bench-BLDS,Roberta_QA_BLDS,Roberta_QA_Bench-BLDS,Roberta_Electra_BLDS,Roberta_Electra_Bench-BLDS,Reformer_MLM_BLDS,Reformer_MLM_Bench-BLDS,Reformer_QA_BLDS,Reformer_QA_Bench-BLDS,Reformer_Electra_BLDS,Reformer_Electra_Bench-BLDS
Roberta_MLM_BLDS,1.0,0.48724493380118805,-0.03162456294012568,-0.02654804172242095,0.2341328711812988,0.0894496393908167,-0.005423198711771311,0.051168765413993914,0.11293808188256545,-0.09843172061619676,0.054254417120921494,0.03518551990646838
Roberta_MLM_Bench-BLDS,0.48724493380118805,1.0,0.025935980246876395,-0.11115089653621957,0.2417489996810735,0.10971410535384014,0.09552846057293095,-0.025314587759853614,0.20234736185342972,-0.16245110818418312,0.060417302878566684,0.004398765213022
Roberta_QA_BLDS,-0.03162456294012568,0.025935980246876395,1.0,-0.1973506252147228,-0.1701038059132148,-0.2580642293913765,0.3323503312480411,-0.31071198936224736,0.15780194027807376,-0.22694267008899785,-0.01911511198463186,-0.003362155579419104
Roberta_QA_Bench-BLDS,-0.02654804172242095,-0.11115089653621957,-0.1973506252147228,1.0,0.1508762480625927,0.3581254597726575,-0.4222759186218152,0.43232943996668177,-0.23817029656502228,0.29865080555733553,0.02536440778663872,-0.030382257989084074
Roberta_Electra_BLDS,0.2341328711812988,0.2417489996810735,-0.1701038059132148,0.1508762480625927,1.0,0.15199470708515395,-0.1644940981980158,0.21726473665593907,-0.0268263929357625,0.0840445924217054,0.0313957752688943,0.003470127412238512
Roberta_Electra_Bench-BLDS,0.0894496393908167,0.10971410535384014,-0.2580642293913765,0.3581254597726575,0.15199470708515395,1.0,-0.2634604416000627,0.32735170278444337,-0.08682174843975977,0.20147130765751434,-0.024110828530502247,-0.06878287944846823
Reformer_MLM_BLDS,-0.005423198711771311,0.09552846057293095,0.3323503312480411,-0.4222759186218152,-0.1644940981980158,-0.2634604416000627,1.0,-0.5061352729817368,0.3636954651710217,-0.5047558816049146,0.01117960601140133,0.05724330549568318
Reformer_MLM_Bench-BLDS,0.051168765413993914,-0.025314587759853614,-0.31071198936224736,0.43232943996668177,0.21726473665593907,0.32735170278444337,-0.5061352729817368,1.0,-0.31947892573599695,0.45364520705954925,0.026799514037335475,-0.07539643706177149
Reformer_QA_BLDS,0.11293808188256545,0.20234736185342972,0.15780194027807376,-0.23817029656502228,-0.0268263929357625,-0.08682174843975977,0.3636954651710217,-0.31947892573599695,1.0,-0.666063932663521,-0.025939780619679827,0.08449470723252621
Reformer_QA_Bench-BLDS,-0.09843172061619676,-0.16245110818418312,-0.22694267008899785,0.29865080555733553,0.0840445924217054,0.20147130765751434,-0.5047558816049146,0.45364520705954925,-0.666063932663521,1.0,-0.0023976534653169417,-0.04875188613297963
Reformer_Electra_BLDS,0.054254417120921494,0.060417302878566684,-0.01911511198463186,0.02536440778663872,0.0313957752688943,-0.024110828530502247,0.01117960601140133,0.026799514037335475,-0.025939780619679827,-0.0023976534653169417,1.0,0.03433264833480319
Reformer_Electra_Bench-BLDS,0.03518551990646838,0.004398765213022,-0.003362155579419104,-0.030382257989084074,0.003470127412238512,-0.06878287944846823,0.05724330549568318,-0.07539643706177149,0.08449470723252621,-0.04875188613297963,0.03433264833480319,1.0
