"Model
Name","Embedding Training
Strategy","Training
Data (CNN Model)",AspectJ,Birt,Eclipse,JDT,SWT,Tomcat,Overall
Long RoBERTa,Electra,BLDS,0.407,0.365,0.354,0.366,0.306,0.326,0.354
Long RoBERTa,Electra,Bench-BLDS,0.367,0.284,0.395,0.491,0.398,0.396,0.388
Long RoBERTa,MLM,BLDS,0.28,0.25,0.284,0.325,0.334,0.257,0.288
Long RoBERTa,MLM,Bench-BLDS,0.24,0.249,0.318,0.231,0.353,0.253,0.274
Long RoBERTa,MLM and QA,BLDS,0.155,0.265,0.199,0.132,0.207,0.226,0.197
Long RoBERTa,MLM and QA,Bench-BLDS,0.421,0.431,0.414,0.54,0.395,0.454,0.443
Reformer,Electra,BLDS,0.323,0.288,0.313,0.332,0.365,0.306,0.321
Reformer,Electra,Bench-BLDS,0.408,0.256,0.351,0.36,0.321,0.279,0.329
Reformer,MLM,BLDS,0.127,0.18,0.172,0.146,0.179,0.206,0.168
Reformer,MLM,Bench-BLDS,0.533,0.337,0.449,0.52,0.415,0.403,0.443
Reformer,MLM and QA,BLDS,0.161,0.19,0.214,0.205,0.201,0.215,0.198
Reformer,MLM and QA,Bench-BLDS,0.54,0.458,0.463,0.494,0.412,0.36,0.455
Long CodeBERT,Electra,BLDS,0.448,0.22,0.315,0.33,0.229,0.202,0.309
Long CodeBERT,Electra,Bench-BLDS,0.612,0.314,0.42,0.537,0.446,0.409,0.466
Long CodeBERT,MLM,BLDS,0.528,0.393,0.459,0.595,0.323,0.357,0.46
Long CodeBERT,MLM,Bench-BLDS,0.545,0.467,0.458,0.507,0.338,0.29,0.463
Long CodeBERT,MLM and QA,BLDS,0.225,0.305,0.335,0.225,0.204,0.219,0.259
Long CodeBERT,MLM and QA,Bench-BLDS,0.268,0.279,0.317,0.19,0.235,0.239,0.258
Long CodeBERT,Without training,BLDS,0.244,0.226,0.208,0.214,0.216,0.282,0.222
Long CodeBERT,Without training,Bench-BLDS,0.343,0.355,0.344,0.236,0.298,0.283,0.315
CodeBERT,Electra,BLDS,0.134,0.25,0.237,0.137,0.283,0.27,0.208
CodeBERT,Electra,Bench-BLDS,0.278,0.243,0.374,0.256,0.311,0.19,0.292
CodeBERT,MLM,BLDS,0.364,0.24,0.27,0.341,0.235,0.257,0.29
CodeBERT,MLM,Bench-BLDS,0.236,0.234,0.299,0.294,0.298,0.196,0.272
CodeBERT,MLM and QA,BLDS,0.159,0.24,0.344,0.174,0.22,0.225,0.228
CodeBERT,MLM and QA,Bench-BLDS,0.26,0.237,0.307,0.314,0.286,0.208,0.281
CodeBERT,Without training,BLDS,0.371,0.245,0.261,0.324,0.238,0.202,0.288
CodeBERT,Without training,Bench-BLDS,0.125,0.266,0.299,0.165,0.341,0.248,0.239
