BugId,CId,position,project
104212,43197,8,AspectJ
112615,31365,11,AspectJ
116755,29631,11,AspectJ
117614,27897,1,AspectJ
108120,39015,11,AspectJ
56779,32232,1,AspectJ
118715,26826,10,AspectJ
91417,33150,8,AspectJ
108120,37485,11,AspectJ
91417,32691,11,AspectJ
108120,39423,8,AspectJ
86057,42789,11,AspectJ
119352,26571,11,AspectJ
83935,43401,3,AspectJ
109283,36210,11,AspectJ
104720,42381,1,AspectJ
103051,28968,11,AspectJ
108120,38505,11,AspectJ
116305,30243,2,AspectJ
116255,30192,4,AspectJ
108120,37689,11,AspectJ
116755,29325,6,AspectJ
108117,34476,11,AspectJ
109283,36261,10,AspectJ
108120,38097,11,AspectJ
108826,40137,4,AspectJ
108120,37995,11,AspectJ
113073,31620,2,AspectJ
108117,34425,11,AspectJ
76374,36414,9,AspectJ
103157,28815,8,AspectJ
91417,33354,11,AspectJ
109283,36363,11,AspectJ
108120,38301,8,AspectJ
56779,32385,9,AspectJ
99191,31263,11,AspectJ
113861,31161,6,AspectJ
82989,42585,11,AspectJ
113510,30804,10,AspectJ
108117,33762,11,AspectJ
101606,40800,11,AspectJ
108120,36669,2,AspectJ
56779,32283,3,AspectJ
77076,35547,1,AspectJ
78261,42840,5,AspectJ
118698,27132,2,AspectJ
117614,27693,2,AspectJ
116755,29529,8,AspectJ
108120,38352,11,AspectJ
116755,29937,11,AspectJ
108120,38148,8,AspectJ
109283,36312,11,AspectJ
108892,30906,4,AspectJ
91417,33048,11,AspectJ
108886,40341,10,AspectJ
118715,26877,10,AspectJ
108117,33915,11,AspectJ
108826,40086,9,AspectJ
115235,30396,11,AspectJ
109173,36108,11,AspectJ
77269,34629,11,AspectJ
115607,29172,3,AspectJ
108117,34272,11,AspectJ
103157,28560,5,AspectJ
108120,36771,2,AspectJ
108117,34119,11,AspectJ
117614,27999,1,AspectJ
113118,30447,1,AspectJ
59076,41616,11,AspectJ
109016,40188,10,AspectJ
117614,27948,1,AspectJ
107858,41871,8,AspectJ
118715,26673,10,AspectJ
113073,31671,3,AspectJ
56779,31926,9,AspectJ
117614,27744,4,AspectJ
103740,40035,2,AspectJ
120543,26214,10,AspectJ
91417,32589,11,AspectJ
104957,36465,5,AspectJ
116755,29835,5,AspectJ
115235,30294,1,AspectJ
116755,29682,5,AspectJ
117189,28917,7,AspectJ
91114,42891,2,AspectJ
56779,32028,11,AspectJ
108120,37740,11,AspectJ
107713,42279,1,AspectJ
108120,37026,8,AspectJ
108120,38454,2,AspectJ
118715,26724,10,AspectJ
112615,31314,9,AspectJ
104024,41973,1,AspectJ
108118,34833,9,AspectJ
108120,37434,11,AspectJ
112027,31773,10,AspectJ
108120,39729,11,AspectJ
64568,42942,8,AspectJ
82989,42483,2,AspectJ
91417,32895,11,AspectJ
163732,281877,8,Birt
187201,226848,11,Birt
182000,238986,7,Birt
124839,359754,10,Birt
143104,324105,6,Birt
172097,271065,7,Birt
156166,290955,11,Birt
136256,339813,6,Birt
175406,267342,10,Birt
176875,263466,10,Birt
176467,219708,8,Birt
166029,278358,11,Birt
142787,305541,7,Birt
132401,306714,11,Birt
131008,347055,9,Birt
177870,261426,11,Birt
131649,342822,8,Birt
180879,247044,9,Birt
183562,236895,4,Birt
155496,292332,6,Birt
186861,227358,8,Birt
146867,308856,1,Birt
132943,331908,11,Birt
121383,304419,3,Birt
178179,258927,1,Birt
129700,355317,5,Birt
150347,308346,3,Birt
148747,312069,9,Birt
148747,311967,9,Birt
161222,280194,11,Birt
157722,288711,8,Birt
132914,325533,8,Birt
134948,345780,8,Birt
136067,343587,1,Birt
177864,256173,10,Birt
182519,244596,10,Birt
167080,224808,11,Birt
146208,287589,4,Birt
175954,257244,11,Birt
189108,217770,10,Birt
148743,308907,11,Birt
145303,320637,10,Birt
143105,329154,11,Birt
