BugId,CId,position,project
104212,43197,9,AspectJ
112615,31365,11,AspectJ
116755,29631,7,AspectJ
117614,27897,1,AspectJ
108120,39015,9,AspectJ
56779,32232,11,AspectJ
118715,26826,5,AspectJ
91417,33150,10,AspectJ
108120,37485,11,AspectJ
91417,32691,10,AspectJ
108120,39423,7,AspectJ
86057,42789,11,AspectJ
119352,26571,11,AspectJ
83935,43401,4,AspectJ
109283,36210,10,AspectJ
104720,42381,8,AspectJ
103051,28968,3,AspectJ
108120,38505,11,AspectJ
116305,30243,3,AspectJ
116255,30192,2,AspectJ
108120,37689,9,AspectJ
116755,29325,8,AspectJ
108117,34476,11,AspectJ
109283,36261,10,AspectJ
108120,38097,8,AspectJ
108826,40137,7,AspectJ
108120,37995,8,AspectJ
113073,31620,11,AspectJ
108117,34425,11,AspectJ
76374,36414,2,AspectJ
103157,28815,6,AspectJ
91417,33354,10,AspectJ
109283,36363,10,AspectJ
108120,38301,6,AspectJ
56779,32385,7,AspectJ
99191,31263,11,AspectJ
113861,31161,8,AspectJ
82989,42585,11,AspectJ
113510,30804,8,AspectJ
108117,33762,7,AspectJ
101606,40800,10,AspectJ
108120,36669,1,AspectJ
56779,32283,7,AspectJ
77076,35547,1,AspectJ
78261,42840,10,AspectJ
118698,27132,10,AspectJ
117614,27693,6,AspectJ
116755,29529,6,AspectJ
108120,38352,11,AspectJ
116755,29937,9,AspectJ
108120,38148,7,AspectJ
109283,36312,10,AspectJ
108892,30906,8,AspectJ
91417,33048,10,AspectJ
108886,40341,6,AspectJ
118715,26877,7,AspectJ
108117,33915,4,AspectJ
108826,40086,6,AspectJ
115235,30396,3,AspectJ
109173,36108,10,AspectJ
77269,34629,1,AspectJ
115607,29172,11,AspectJ
108117,34272,11,AspectJ
103157,28560,2,AspectJ
108120,36771,11,AspectJ
108117,34119,2,AspectJ
117614,27999,5,AspectJ
113118,30447,2,AspectJ
59076,41616,11,AspectJ
109016,40188,11,AspectJ
117614,27948,5,AspectJ
107858,41871,2,AspectJ
118715,26673,6,AspectJ
113073,31671,4,AspectJ
56779,31926,11,AspectJ
117614,27744,6,AspectJ
103740,40035,4,AspectJ
120543,26214,11,AspectJ
91417,32589,10,AspectJ
104957,36465,5,AspectJ
116755,29835,5,AspectJ
115235,30294,3,AspectJ
116755,29682,1,AspectJ
117189,28917,10,AspectJ
91114,42891,11,AspectJ
56779,32028,11,AspectJ
108120,37740,6,AspectJ
107713,42279,1,AspectJ
108120,37026,7,AspectJ
108120,38454,8,AspectJ
118715,26724,4,AspectJ
112615,31314,11,AspectJ
104024,41973,11,AspectJ
108118,34833,10,AspectJ
108120,37434,11,AspectJ
112027,31773,1,AspectJ
108120,39729,9,AspectJ
64568,42942,8,AspectJ
82989,42483,10,AspectJ
91417,32895,8,AspectJ
163732,281877,9,Birt
187201,226848,10,Birt
182000,238986,3,Birt
124839,359754,10,Birt
143104,324105,7,Birt
172097,271065,11,Birt
156166,290955,11,Birt
136256,339813,9,Birt
175406,267342,11,Birt
176875,263466,4,Birt
176467,219708,7,Birt
166029,278358,4,Birt
142787,305541,9,Birt
132401,306714,6,Birt
131008,347055,4,Birt
177870,261426,5,Birt
131649,342822,5,Birt
180879,247044,11,Birt
183562,236895,2,Birt
155496,292332,2,Birt
186861,227358,7,Birt
146867,308856,6,Birt
132943,331908,5,Birt
121383,304419,11,Birt
178179,258927,9,Birt
129700,355317,8,Birt
150347,308346,7,Birt
148747,312069,9,Birt
148747,311967,3,Birt
161222,280194,3,Birt
157722,288711,4,Birt
132914,325533,3,Birt
134948,345780,3,Birt
136067,343587,8,Birt
177864,256173,8,Birt
182519,244596,5,Birt
167080,224808,9,Birt
146208,287589,4,Birt
175954,257244,10,Birt
189108,217770,9,Birt
148743,308907,9,Birt
145303,320637,8,Birt
143105,329154,8,Birt
186965,228939,10,Birt
180842,250308,1,Birt
139365,333387,5,Birt
176299,241842,1,Birt
125060,356643,1,Birt
179661,239700,5,Birt
138562,331398,6,Birt
128359,353634,10,Birt
183897,237609,10,Birt
134057,349503,6,Birt
142430,322116,10,Birt
180414,253827,1,Birt
148392,310284,5,Birt
138556,337722,6,Birt
145970,318750,5,Birt
145698,318903,7,Birt
188829,219147,11,Birt
180645,243933,10,Birt
172604,260253,10,Birt
127070,355368,7,Birt
178682,238782,9,Birt
175954,257142,8,Birt
146548,316506,6,Birt
146481,317424,9,Birt
155551,288252,7,Birt
139110,334254,3,Birt
161912,283356,3,Birt
147977,265251,11,Birt
117149,359397,8,Birt
157135,289221,3,Birt
160650,284631,2,Birt
166015,266679,3,Birt
188835,218943,9,Birt
148626,251226,6,Birt
131008,347208,11,Birt
166443,274839,8,Birt
145724,319617,9,Birt
177864,256683,2,Birt
135444,332316,9,Birt
183910,237456,8,Birt
151361,292842,1,Birt
178179,258672,6,Birt
160276,286161,6,Birt
154328,300594,10,Birt
147218,315486,1,Birt
180366,243678,11,Birt
152443,260406,11,Birt
148724,311763,3,Birt
173601,262242,10,Birt
177864,256275,7,Birt
180189,253317,11,Birt
187201,226746,2,Birt
183733,235110,1,Birt
150347,308142,6,Birt
147819,313752,2,Birt
183733,234600,9,Birt
188204,218535,6,Birt
44646,39321,4,Tomcat
46408,36873,6,Tomcat
49143,29580,6,Tomcat
47161,33813,5,Tomcat
38352,35190,9,Tomcat
49102,26622,8,Tomcat
46096,37281,6,Tomcat
46950,33864,9,Tomcat
50087,25959,3,Tomcat
43150,38760,9,Tomcat
45691,37638,8,Tomcat
49142,23001,11,Tomcat
49091,30549,11,Tomcat
49721,27336,6,Tomcat
47320,33609,5,Tomcat
49142,23256,1,Tomcat
47502,32079,1,Tomcat
47216,35292,6,Tomcat
47440,34986,11,Tomcat
44088,40086,4,Tomcat
49376,28458,5,Tomcat
47576,34272,10,Tomcat
49102,26673,9,Tomcat
50027,26010,5,Tomcat
49142,24021,11,Tomcat
49617,27693,9,Tomcat
49207,29019,6,Tomcat
39396,36618,6,Tomcat
50021,26367,10,Tomcat
47364,33456,5,Tomcat
48662,30957,7,Tomcat
49407,27591,6,Tomcat
45591,38097,6,Tomcat
49142,23307,3,Tomcat
48248,32385,9,Tomcat
43080,38454,5,Tomcat
49109,30345,3,Tomcat
44084,40137,11,Tomcat
49142,24327,11,Tomcat
44392,39117,4,Tomcat
49749,27234,10,Tomcat
46011,37077,7,Tomcat
50168,25602,4,Tomcat
49445,28254,6,Tomcat
49109,30192,3,Tomcat
44380,38964,5,Tomcat
43743,39780,7,Tomcat
49127,27795,10,Tomcat
43191,38556,9,Tomcat
50207,25245,8,Tomcat
49376,28356,9,Tomcat
48643,31416,7,Tomcat
46950,33915,9,Tomcat
48120,33099,4,Tomcat
49617,27744,8,Tomcat
43944,40035,10,Tomcat
49142,23562,11,Tomcat
50168,25755,5,Tomcat
48662,30906,11,Tomcat
49142,24123,1,Tomcat
49221,28713,7,Tomcat
43909,39984,5,Tomcat
48960,27999,5,Tomcat
50054,26061,6,Tomcat
42579,35445,9,Tomcat
50308,25398,6,Tomcat
49892,26826,9,Tomcat
48689,29325,8,Tomcat
48689,29427,9,Tomcat
46075,37230,3,Tomcat
49445,28203,9,Tomcat
49142,24990,2,Tomcat
48689,29121,9,Tomcat
48285,32181,5,Tomcat
49142,24429,1,Tomcat
44558,39372,7,Tomcat
49525,28101,7,Tomcat
46696,36516,5,Tomcat
49142,24378,1,Tomcat
45608,37893,1,Tomcat
49142,23103,2,Tomcat
49340,28662,10,Tomcat
43611,40239,7,Tomcat
49142,24174,3,Tomcat
42409,37128,10,Tomcat
49142,22644,11,Tomcat
48689,29478,9,Tomcat
50168,25806,11,Tomcat
49831,26877,11,Tomcat
49730,26265,8,Tomcat
49924,26724,8,Tomcat
50054,26112,9,Tomcat
48135,32895,1,Tomcat
50308,25347,8,Tomcat
48689,29529,8,Tomcat
48371,31263,10,Tomcat
49045,30396,11,Tomcat
48174,32793,2,Tomcat
49478,28050,6,Tomcat
47378,34221,9,Tomcat
96212,210528,11,SWT
34739,285804,11,SWT
130101,188139,4,SWT
59528,254439,9,SWT
99167,210069,6,SWT
99167,210171,6,SWT
134760,173145,11,SWT
105133,205326,8,SWT
82336,229755,8,SWT
34159,203388,6,SWT
90223,226083,11,SWT
105213,205785,9,SWT
35773,284580,10,SWT
72784,217515,9,SWT
97011,212721,9,SWT
108996,186915,10,SWT
66717,248829,10,SWT
55748,254337,9,SWT
146250,172992,9,SWT
46037,265506,9,SWT
113244,195840,10,SWT
57188,244341,8,SWT
134353,176919,7,SWT
85547,231948,7,SWT
87636,218535,10,SWT
91159,218178,9,SWT
28684,265200,7,SWT
150764,172023,1,SWT
77983,239139,9,SWT
63154,253062,6,SWT
24700,278613,9,SWT
74882,241332,11,SWT
97125,212160,11,SWT
62982,251736,4,SWT
32006,272952,7,SWT
68273,245667,9,SWT
55522,257805,3,SWT
118240,193953,3,SWT
68096,248319,11,SWT
82703,230724,7,SWT
33529,285141,9,SWT
123922,180183,11,SWT
129535,188649,10,SWT
123922,180897,11,SWT
83262,235875,3,SWT
131160,186711,10,SWT
90246,215679,10,SWT
86830,220014,6,SWT
63003,252348,6,SWT
58642,248880,5,SWT
70160,246534,11,SWT
63266,218637,10,SWT
93918,217311,4,SWT
145526,176154,6,SWT
85875,231795,8,SWT
55920,257958,11,SWT
123922,180540,11,SWT
99381,194157,10,SWT
83133,186354,4,SWT
43011,270861,11,SWT
78562,238680,7,SWT
40156,273717,1,SWT
100231,208896,3,SWT
72784,217566,9,SWT
33359,278103,11,SWT
37212,281112,10,SWT
99167,210273,9,SWT
96494,213996,1,SWT
94818,217107,6,SWT
73100,240516,7,SWT
124414,191658,1,SWT
102543,207315,4,SWT
37782,276573,7,SWT
87664,230061,10,SWT
117816,194055,4,SWT
85119,232713,10,SWT
85312,223737,1,SWT
93380,195993,8,SWT
79881,226236,9,SWT
33166,278919,3,SWT
74241,242250,8,SWT
67355,249135,11,SWT
94946,214965,8,SWT
55541,257295,4,SWT
54426,190383,9,SWT
54575,254541,3,SWT
87695,227511,11,SWT
105849,205530,5,SWT
87294,220473,3,SWT
32828,262548,11,SWT
87695,228582,11,SWT
134760,173553,7,SWT
123922,180387,11,SWT
110346,199869,7,SWT
67626,222258,1,SWT
137320,178755,3,SWT
56063,252858,6,SWT
65695,249594,10,SWT
133183,174522,3,SWT
90246,215628,10,SWT
9440,383214,11,JDT
20508,368016,11,JDT
50100,294066,8,JDT
47874,298197,9,JDT
44204,277644,11,JDT
77839,253164,7,JDT
53839,289272,6,JDT
41798,310182,11,JDT
79989,247962,11,JDT
29711,347616,9,JDT
85831,232764,11,JDT
28369,352869,11,JDT
19702,367200,7,JDT
46341,288711,8,JDT
36498,323493,11,JDT
45517,303909,10,JDT
46351,302532,4,JDT
40952,307989,8,JDT
66548,263160,2,JDT
81098,241128,9,JDT
36498,323085,11,JDT
60715,279939,9,JDT
61005,276063,11,JDT
78051,248676,1,JDT
67046,262344,1,JDT
47010,280500,11,JDT
58778,282591,1,JDT
30786,348534,6,JDT
56459,284529,1,JDT
37399,319617,11,JDT
49527,284478,6,JDT
53000,285039,8,JDT
18034,375411,5,JDT
72046,258111,1,JDT
29698,350931,10,JDT
33034,336345,11,JDT
43248,286926,11,JDT
46946,301665,8,JDT
56459,284631,1,JDT
38299,318087,2,JDT
28250,352257,2,JDT
51026,263772,11,JDT
27075,354144,7,JDT
64897,268413,11,JDT
29161,351849,11,JDT
63845,270045,2,JDT
66664,263058,8,JDT
40347,313803,10,JDT
73890,257193,10,JDT
83697,241179,11,JDT
63769,270708,11,JDT
77950,248931,10,JDT
17317,376992,11,JDT
38482,278154,5,JDT
62863,272595,1,JDT
23553,353277,2,JDT
18510,369597,11,JDT
85377,234498,2,JDT
74627,247044,7,JDT
81250,240057,11,JDT
88188,232968,9,JDT
37197,320331,10,JDT
32906,326400,2,JDT
