BugId,CId,position,project
104212,43197,2,AspectJ
112615,31365,4,AspectJ
116755,29631,7,AspectJ
117614,27897,1,AspectJ
108120,39015,3,AspectJ
56779,32232,3,AspectJ
118715,26826,6,AspectJ
91417,33150,10,AspectJ
108120,37485,3,AspectJ
91417,32691,3,AspectJ
108120,39423,5,AspectJ
86057,42789,2,AspectJ
119352,26571,1,AspectJ
83935,43401,10,AspectJ
109283,36210,2,AspectJ
104720,42381,4,AspectJ
103051,28968,3,AspectJ
108120,38505,3,AspectJ
116305,30243,1,AspectJ
116255,30192,2,AspectJ
108120,37689,3,AspectJ
116755,29325,7,AspectJ
108117,34476,2,AspectJ
109283,36261,1,AspectJ
108120,38097,3,AspectJ
108826,40137,1,AspectJ
108120,37995,3,AspectJ
113073,31620,1,AspectJ
108117,34425,2,AspectJ
76374,36414,1,AspectJ
103157,28815,5,AspectJ
91417,33354,3,AspectJ
109283,36363,1,AspectJ
108120,38301,1,AspectJ
56779,32385,3,AspectJ
99191,31263,3,AspectJ
113861,31161,1,AspectJ
82989,42585,2,AspectJ
113510,30804,3,AspectJ
108117,33762,2,AspectJ
101606,40800,1,AspectJ
108120,36669,6,AspectJ
56779,32283,5,AspectJ
77076,35547,1,AspectJ
78261,42840,3,AspectJ
118698,27132,1,AspectJ
117614,27693,2,AspectJ
116755,29529,7,AspectJ
108120,38352,3,AspectJ
116755,29937,6,AspectJ
108120,38148,3,AspectJ
109283,36312,2,AspectJ
108892,30906,2,AspectJ
91417,33048,3,AspectJ
108886,40341,5,AspectJ
118715,26877,4,AspectJ
108117,33915,2,AspectJ
108826,40086,8,AspectJ
115235,30396,1,AspectJ
109173,36108,2,AspectJ
77269,34629,1,AspectJ
115607,29172,1,AspectJ
108117,34272,2,AspectJ
103157,28560,10,AspectJ
108120,36771,3,AspectJ
108117,34119,2,AspectJ
117614,27999,1,AspectJ
113118,30447,1,AspectJ
59076,41616,1,AspectJ
109016,40188,4,AspectJ
117614,27948,1,AspectJ
107858,41871,1,AspectJ
118715,26673,6,AspectJ
113073,31671,3,AspectJ
56779,31926,1,AspectJ
117614,27744,2,AspectJ
103740,40035,1,AspectJ
120543,26214,3,AspectJ
91417,32589,1,AspectJ
104957,36465,5,AspectJ
116755,29835,9,AspectJ
115235,30294,1,AspectJ
116755,29682,6,AspectJ
117189,28917,3,AspectJ
91114,42891,1,AspectJ
56779,32028,1,AspectJ
108120,37740,5,AspectJ
107713,42279,2,AspectJ
108120,37026,3,AspectJ
108120,38454,6,AspectJ
118715,26724,5,AspectJ
112615,31314,5,AspectJ
104024,41973,1,AspectJ
108118,34833,3,AspectJ
108120,37434,3,AspectJ
112027,31773,2,AspectJ
108120,39729,3,AspectJ
64568,42942,1,AspectJ
82989,42483,1,AspectJ
