BugId,CId,position,project
104212,43197,10,AspectJ
112615,31365,6,AspectJ
116755,29631,2,AspectJ
117614,27897,2,AspectJ
108120,39015,1,AspectJ
56779,32232,5,AspectJ
118715,26826,4,AspectJ
91417,33150,5,AspectJ
108120,37485,10,AspectJ
91417,32691,8,AspectJ
108120,39423,1,AspectJ
86057,42789,2,AspectJ
119352,26571,9,AspectJ
83935,43401,4,AspectJ
109283,36210,11,AspectJ
104720,42381,11,AspectJ
103051,28968,10,AspectJ
108120,38505,10,AspectJ
116305,30243,4,AspectJ
116255,30192,6,AspectJ
108120,37689,10,AspectJ
116755,29325,10,AspectJ
108117,34476,7,AspectJ
109283,36261,9,AspectJ
108120,38097,9,AspectJ
108826,40137,3,AspectJ
108120,37995,1,AspectJ
113073,31620,10,AspectJ
108117,34425,6,AspectJ
76374,36414,10,AspectJ
103157,28815,6,AspectJ
91417,33354,10,AspectJ
109283,36363,8,AspectJ
108120,38301,9,AspectJ
56779,32385,2,AspectJ
99191,31263,4,AspectJ
113861,31161,5,AspectJ
82989,42585,9,AspectJ
113510,30804,10,AspectJ
108117,33762,4,AspectJ
101606,40800,1,AspectJ
108120,36669,1,AspectJ
56779,32283,1,AspectJ
77076,35547,1,AspectJ
78261,42840,9,AspectJ
118698,27132,5,AspectJ
117614,27693,7,AspectJ
116755,29529,1,AspectJ
108120,38352,10,AspectJ
116755,29937,10,AspectJ
108120,38148,1,AspectJ
109283,36312,6,AspectJ
108892,30906,8,AspectJ
91417,33048,8,AspectJ
108886,40341,4,AspectJ
118715,26877,6,AspectJ
108117,33915,4,AspectJ
108826,40086,6,AspectJ
115235,30396,1,AspectJ
109173,36108,10,AspectJ
77269,34629,1,AspectJ
115607,29172,4,AspectJ
108117,34272,11,AspectJ
103157,28560,1,AspectJ
108120,36771,11,AspectJ
108117,34119,6,AspectJ
117614,27999,3,AspectJ
113118,30447,11,AspectJ
59076,41616,11,AspectJ
109016,40188,8,AspectJ
117614,27948,3,AspectJ
107858,41871,11,AspectJ
118715,26673,3,AspectJ
113073,31671,10,AspectJ
56779,31926,6,AspectJ
117614,27744,3,AspectJ
103740,40035,5,AspectJ
120543,26214,6,AspectJ
91417,32589,8,AspectJ
104957,36465,5,AspectJ
116755,29835,2,AspectJ
115235,30294,1,AspectJ
116755,29682,2,AspectJ
117189,28917,8,AspectJ
91114,42891,6,AspectJ
56779,32028,4,AspectJ
108120,37740,10,AspectJ
107713,42279,8,AspectJ
108120,37026,1,AspectJ
108120,38454,10,AspectJ
118715,26724,4,AspectJ
112615,31314,4,AspectJ
104024,41973,9,AspectJ
108118,34833,6,AspectJ
108120,37434,1,AspectJ
112027,31773,10,AspectJ
108120,39729,9,AspectJ
64568,42942,3,AspectJ
82989,42483,10,AspectJ
91417,32895,10,AspectJ
163732,281877,4,Birt
187201,226848,2,Birt
182000,238986,1,Birt
124839,359754,1,Birt
143104,324105,9,Birt
172097,271065,4,Birt
156166,290955,1,Birt
136256,339813,3,Birt
175406,267342,6,Birt
176875,263466,7,Birt
176467,219708,11,Birt
166029,278358,11,Birt
142787,305541,5,Birt
132401,306714,8,Birt
131008,347055,5,Birt
177870,261426,4,Birt
131649,342822,11,Birt
180879,247044,5,Birt
183562,236895,9,Birt
155496,292332,5,Birt
186861,227358,3,Birt
146867,308856,7,Birt
132943,331908,9,Birt
121383,304419,3,Birt
178179,258927,11,Birt
129700,355317,11,Birt
150347,308346,1,Birt
148747,312069,5,Birt
148747,311967,5,Birt
161222,280194,9,Birt
157722,288711,10,Birt
132914,325533,3,Birt
134948,345780,1,Birt
136067,343587,5,Birt
177864,256173,8,Birt
182519,244596,1,Birt
167080,224808,10,Birt
146208,287589,3,Birt
175954,257244,1,Birt
189108,217770,3,Birt
148743,308907,3,Birt
145303,320637,7,Birt
143105,329154,10,Birt
186965,228939,7,Birt
180842,250308,3,Birt
139365,333387,8,Birt
176299,241842,10,Birt
125060,356643,11,Birt
179661,239700,8,Birt
138562,331398,7,Birt
128359,353634,9,Birt
183897,237609,3,Birt
134057,349503,6,Birt
142430,322116,11,Birt
180414,253827,1,Birt
148392,310284,1,Birt
138556,337722,2,Birt
145970,318750,2,Birt
145698,318903,11,Birt
188829,219147,10,Birt
180645,243933,11,Birt
172604,260253,11,Birt
127070,355368,11,Birt
178682,238782,8,Birt
175954,257142,11,Birt
146548,316506,9,Birt
146481,317424,1,Birt
155551,288252,4,Birt
139110,334254,2,Birt
161912,283356,2,Birt
147977,265251,4,Birt
117149,359397,10,Birt
157135,289221,6,Birt
160650,284631,7,Birt
166015,266679,3,Birt
188835,218943,1,Birt
148626,251226,11,Birt
131008,347208,7,Birt
166443,274839,5,Birt
145724,319617,11,Birt
177864,256683,11,Birt
135444,332316,3,Birt
183910,237456,2,Birt
151361,292842,4,Birt
178179,258672,3,Birt
160276,286161,9,Birt
154328,300594,11,Birt
147218,315486,3,Birt
180366,243678,10,Birt
152443,260406,11,Birt
148724,311763,9,Birt
173601,262242,7,Birt
177864,256275,11,Birt
180189,253317,11,Birt
187201,226746,8,Birt
183733,235110,6,Birt
150347,308142,11,Birt
147819,313752,8,Birt
183733,234600,1,Birt
188204,218535,7,Birt
44646,39321,9,Tomcat
46408,36873,4,Tomcat
49143,29580,2,Tomcat
47161,33813,7,Tomcat
38352,35190,2,Tomcat
49102,26622,11,Tomcat
46096,37281,1,Tomcat
46950,33864,4,Tomcat
50087,25959,8,Tomcat
43150,38760,1,Tomcat
45691,37638,10,Tomcat
49142,23001,11,Tomcat
49091,30549,10,Tomcat
49721,27336,11,Tomcat
47320,33609,7,Tomcat
49142,23256,5,Tomcat
47502,32079,1,Tomcat
47216,35292,7,Tomcat
47440,34986,3,Tomcat
44088,40086,8,Tomcat
49376,28458,1,Tomcat
47576,34272,6,Tomcat
49102,26673,6,Tomcat
50027,26010,2,Tomcat
49142,24021,5,Tomcat
49617,27693,11,Tomcat
49207,29019,2,Tomcat
39396,36618,4,Tomcat
50021,26367,8,Tomcat
47364,33456,11,Tomcat
48662,30957,9,Tomcat
49407,27591,10,Tomcat
45591,38097,1,Tomcat
49142,23307,1,Tomcat
48248,32385,4,Tomcat
43080,38454,9,Tomcat
49109,30345,9,Tomcat
44084,40137,10,Tomcat
49142,24327,11,Tomcat
44392,39117,4,Tomcat
49749,27234,9,Tomcat
46011,37077,6,Tomcat
50168,25602,3,Tomcat
49445,28254,11,Tomcat
49109,30192,2,Tomcat
44380,38964,7,Tomcat
43743,39780,4,Tomcat
49127,27795,10,Tomcat
43191,38556,11,Tomcat
50207,25245,9,Tomcat
49376,28356,3,Tomcat
48643,31416,6,Tomcat
46950,33915,11,Tomcat
48120,33099,2,Tomcat
49617,27744,10,Tomcat
43944,40035,1,Tomcat
49142,23562,11,Tomcat
50168,25755,11,Tomcat
48662,30906,1,Tomcat
49142,24123,1,Tomcat
49221,28713,7,Tomcat
43909,39984,7,Tomcat
48960,27999,4,Tomcat
50054,26061,11,Tomcat
42579,35445,11,Tomcat
50308,25398,2,Tomcat
49892,26826,3,Tomcat
48689,29325,4,Tomcat
48689,29427,4,Tomcat
46075,37230,8,Tomcat
49445,28203,11,Tomcat
49142,24990,5,Tomcat
48689,29121,4,Tomcat
48285,32181,11,Tomcat
49142,24429,2,Tomcat
44558,39372,1,Tomcat
49525,28101,3,Tomcat
46696,36516,11,Tomcat
49142,24378,5,Tomcat
45608,37893,11,Tomcat
49142,23103,5,Tomcat
49340,28662,5,Tomcat
43611,40239,11,Tomcat
49142,24174,1,Tomcat
42409,37128,9,Tomcat
49142,22644,2,Tomcat
48689,29478,1,Tomcat
50168,25806,2,Tomcat
49831,26877,3,Tomcat
49730,26265,10,Tomcat
49924,26724,6,Tomcat
50054,26112,11,Tomcat
48135,32895,11,Tomcat
50308,25347,1,Tomcat
48689,29529,4,Tomcat
48371,31263,11,Tomcat
49045,30396,10,Tomcat
48174,32793,4,Tomcat
49478,28050,4,Tomcat
47378,34221,5,Tomcat
96212,210528,6,SWT
34739,285804,8,SWT
130101,188139,7,SWT
59528,254439,4,SWT
99167,210069,11,SWT
99167,210171,8,SWT
134760,173145,2,SWT
105133,205326,4,SWT
82336,229755,8,SWT
34159,203388,6,SWT
90223,226083,10,SWT
105213,205785,6,SWT
35773,284580,6,SWT
72784,217515,9,SWT
97011,212721,8,SWT
108996,186915,2,SWT
66717,248829,5,SWT
55748,254337,3,SWT
146250,172992,9,SWT
46037,265506,5,SWT
113244,195840,4,SWT
57188,244341,4,SWT
134353,176919,9,SWT
85547,231948,7,SWT
87636,218535,9,SWT
91159,218178,10,SWT
28684,265200,8,SWT
150764,172023,4,SWT
77983,239139,4,SWT
63154,253062,10,SWT
24700,278613,9,SWT
74882,241332,11,SWT
97125,212160,10,SWT
62982,251736,7,SWT
32006,272952,11,SWT
68273,245667,6,SWT
55522,257805,11,SWT
118240,193953,11,SWT
68096,248319,5,SWT
82703,230724,11,SWT
33529,285141,10,SWT
123922,180183,1,SWT
129535,188649,6,SWT
123922,180897,11,SWT
83262,235875,7,SWT
131160,186711,11,SWT
90246,215679,10,SWT
86830,220014,3,SWT
63003,252348,8,SWT
58642,248880,9,SWT
70160,246534,11,SWT
63266,218637,10,SWT
93918,217311,11,SWT
145526,176154,8,SWT
85875,231795,3,SWT
55920,257958,5,SWT
123922,180540,11,SWT
99381,194157,4,SWT
83133,186354,11,SWT
43011,270861,6,SWT
78562,238680,11,SWT
40156,273717,6,SWT
100231,208896,10,SWT
72784,217566,6,SWT
33359,278103,11,SWT
37212,281112,9,SWT
99167,210273,8,SWT
96494,213996,1,SWT
94818,217107,2,SWT
73100,240516,5,SWT
124414,191658,1,SWT
102543,207315,7,SWT
37782,276573,10,SWT
87664,230061,6,SWT
117816,194055,1,SWT
85119,232713,9,SWT
