BugId,CId,position,project
104212,43197,5,AspectJ
112615,31365,11,AspectJ
116755,29631,1,AspectJ
117614,27897,2,AspectJ
108120,39015,9,AspectJ
56779,32232,10,AspectJ
118715,26826,1,AspectJ
91417,33150,5,AspectJ
108120,37485,3,AspectJ
91417,32691,9,AspectJ
108120,39423,7,AspectJ
86057,42789,1,AspectJ
119352,26571,1,AspectJ
83935,43401,10,AspectJ
109283,36210,2,AspectJ
104720,42381,6,AspectJ
103051,28968,5,AspectJ
108120,38505,8,AspectJ
116305,30243,11,AspectJ
116255,30192,7,AspectJ
108120,37689,9,AspectJ
116755,29325,5,AspectJ
108117,34476,6,AspectJ
109283,36261,2,AspectJ
108120,38097,1,AspectJ
108826,40137,5,AspectJ
108120,37995,11,AspectJ
113073,31620,2,AspectJ
108117,34425,11,AspectJ
76374,36414,5,AspectJ
103157,28815,3,AspectJ
91417,33354,2,AspectJ
109283,36363,9,AspectJ
108120,38301,1,AspectJ
56779,32385,10,AspectJ
99191,31263,11,AspectJ
113861,31161,8,AspectJ
82989,42585,2,AspectJ
113510,30804,11,AspectJ
108117,33762,1,AspectJ
101606,40800,11,AspectJ
108120,36669,9,AspectJ
56779,32283,8,AspectJ
77076,35547,7,AspectJ
78261,42840,9,AspectJ
118698,27132,3,AspectJ
117614,27693,9,AspectJ
116755,29529,5,AspectJ
108120,38352,9,AspectJ
116755,29937,11,AspectJ
108120,38148,5,AspectJ
109283,36312,11,AspectJ
108892,30906,1,AspectJ
91417,33048,3,AspectJ
108886,40341,4,AspectJ
118715,26877,8,AspectJ
108117,33915,11,AspectJ
108826,40086,11,AspectJ
115235,30396,8,AspectJ
109173,36108,2,AspectJ
77269,34629,2,AspectJ
115607,29172,1,AspectJ
108117,34272,1,AspectJ
103157,28560,8,AspectJ
108120,36771,9,AspectJ
108117,34119,7,AspectJ
117614,27999,1,AspectJ
113118,30447,7,AspectJ
59076,41616,10,AspectJ
109016,40188,11,AspectJ
117614,27948,1,AspectJ
107858,41871,11,AspectJ
118715,26673,6,AspectJ
113073,31671,1,AspectJ
56779,31926,3,AspectJ
117614,27744,3,AspectJ
103740,40035,3,AspectJ
120543,26214,10,AspectJ
91417,32589,11,AspectJ
104957,36465,7,AspectJ
116755,29835,8,AspectJ
115235,30294,4,AspectJ
116755,29682,9,AspectJ
117189,28917,10,AspectJ
91114,42891,6,AspectJ
56779,32028,5,AspectJ
108120,37740,8,AspectJ
107713,42279,9,AspectJ
108120,37026,1,AspectJ
108120,38454,9,AspectJ
118715,26724,6,AspectJ
112615,31314,4,AspectJ
104024,41973,2,AspectJ
108118,34833,11,AspectJ
108120,37434,1,AspectJ
112027,31773,10,AspectJ
108120,39729,8,AspectJ
64568,42942,2,AspectJ
82989,42483,4,AspectJ
91417,32895,1,AspectJ
163732,281877,7,Birt
187201,226848,10,Birt
182000,238986,9,Birt
124839,359754,2,Birt
143104,324105,7,Birt
172097,271065,1,Birt
156166,290955,1,Birt
136256,339813,2,Birt
175406,267342,7,Birt
176875,263466,9,Birt
176467,219708,5,Birt
166029,278358,4,Birt
142787,305541,2,Birt
132401,306714,4,Birt
131008,347055,9,Birt
177870,261426,9,Birt
131649,342822,7,Birt
180879,247044,6,Birt
183562,236895,10,Birt
155496,292332,2,Birt
186861,227358,11,Birt
146867,308856,2,Birt
132943,331908,3,Birt
121383,304419,2,Birt
178179,258927,2,Birt
129700,355317,4,Birt
150347,308346,8,Birt
148747,312069,1,Birt
148747,311967,10,Birt
161222,280194,1,Birt
157722,288711,4,Birt
132914,325533,7,Birt
134948,345780,5,Birt
136067,343587,9,Birt
177864,256173,2,Birt
182519,244596,1,Birt
167080,224808,5,Birt
146208,287589,11,Birt
175954,257244,10,Birt
189108,217770,3,Birt
148743,308907,3,Birt
145303,320637,5,Birt
143105,329154,6,Birt
186965,228939,4,Birt
180842,250308,11,Birt
139365,333387,11,Birt
176299,241842,1,Birt
125060,356643,1,Birt
179661,239700,7,Birt
138562,331398,6,Birt
128359,353634,11,Birt
183897,237609,10,Birt
134057,349503,9,Birt
142430,322116,10,Birt
180414,253827,2,Birt
148392,310284,10,Birt
138556,337722,9,Birt
145970,318750,11,Birt
145698,318903,11,Birt
188829,219147,4,Birt
180645,243933,10,Birt
172604,260253,11,Birt
127070,355368,6,Birt
178682,238782,8,Birt
175954,257142,4,Birt
146548,316506,11,Birt
146481,317424,8,Birt
155551,288252,3,Birt
139110,334254,3,Birt
161912,283356,3,Birt
147977,265251,8,Birt
117149,359397,1,Birt
157135,289221,5,Birt
160650,284631,11,Birt
166015,266679,11,Birt
188835,218943,9,Birt
148626,251226,11,Birt
131008,347208,1,Birt
166443,274839,3,Birt
145724,319617,2,Birt
177864,256683,5,Birt
135444,332316,1,Birt
183910,237456,10,Birt
151361,292842,10,Birt
178179,258672,7,Birt
160276,286161,3,Birt
154328,300594,7,Birt
147218,315486,8,Birt
180366,243678,11,Birt
152443,260406,6,Birt
148724,311763,2,Birt
173601,262242,6,Birt
177864,256275,7,Birt
180189,253317,8,Birt
187201,226746,7,Birt
183733,235110,7,Birt
150347,308142,9,Birt
147819,313752,11,Birt
183733,234600,1,Birt
188204,218535,10,Birt
44646,39321,3,Tomcat
46408,36873,1,Tomcat
49143,29580,10,Tomcat
47161,33813,8,Tomcat
38352,35190,10,Tomcat
49102,26622,2,Tomcat
46096,37281,3,Tomcat
46950,33864,11,Tomcat
50087,25959,3,Tomcat
43150,38760,2,Tomcat
45691,37638,2,Tomcat
49142,23001,2,Tomcat
49091,30549,5,Tomcat
49721,27336,3,Tomcat
47320,33609,6,Tomcat
49142,23256,10,Tomcat
47502,32079,3,Tomcat
47216,35292,2,Tomcat
47440,34986,11,Tomcat
44088,40086,5,Tomcat
49376,28458,10,Tomcat
47576,34272,11,Tomcat
49102,26673,1,Tomcat
50027,26010,7,Tomcat
49142,24021,8,Tomcat
49617,27693,8,Tomcat
49207,29019,1,Tomcat
39396,36618,1,Tomcat
50021,26367,3,Tomcat
47364,33456,10,Tomcat
48662,30957,3,Tomcat
49407,27591,8,Tomcat
45591,38097,2,Tomcat
49142,23307,1,Tomcat
48248,32385,5,Tomcat
43080,38454,7,Tomcat
49109,30345,11,Tomcat
44084,40137,10,Tomcat
49142,24327,10,Tomcat
44392,39117,4,Tomcat
49749,27234,7,Tomcat
46011,37077,9,Tomcat
50168,25602,6,Tomcat
49445,28254,2,Tomcat
49109,30192,8,Tomcat
44380,38964,6,Tomcat
43743,39780,7,Tomcat
49127,27795,1,Tomcat
43191,38556,6,Tomcat
50207,25245,1,Tomcat
49376,28356,1,Tomcat
48643,31416,2,Tomcat
46950,33915,8,Tomcat
48120,33099,10,Tomcat
49617,27744,7,Tomcat
43944,40035,6,Tomcat
49142,23562,1,Tomcat
50168,25755,6,Tomcat
48662,30906,5,Tomcat
49142,24123,11,Tomcat
49221,28713,1,Tomcat
43909,39984,3,Tomcat
48960,27999,5,Tomcat
50054,26061,7,Tomcat
42579,35445,5,Tomcat
50308,25398,8,Tomcat
49892,26826,6,Tomcat
48689,29325,7,Tomcat
48689,29427,9,Tomcat
46075,37230,5,Tomcat
49445,28203,9,Tomcat
49142,24990,3,Tomcat
48689,29121,9,Tomcat
48285,32181,2,Tomcat
49142,24429,2,Tomcat
44558,39372,4,Tomcat
49525,28101,6,Tomcat
46696,36516,11,Tomcat
49142,24378,10,Tomcat
45608,37893,10,Tomcat
49142,23103,6,Tomcat
49340,28662,8,Tomcat
43611,40239,10,Tomcat
49142,24174,11,Tomcat
42409,37128,1,Tomcat
49142,22644,7,Tomcat
48689,29478,9,Tomcat
50168,25806,10,Tomcat
49831,26877,7,Tomcat
49730,26265,11,Tomcat
49924,26724,1,Tomcat
50054,26112,9,Tomcat
48135,32895,5,Tomcat
50308,25347,10,Tomcat
48689,29529,11,Tomcat
48371,31263,4,Tomcat
49045,30396,9,Tomcat
48174,32793,3,Tomcat
49478,28050,4,Tomcat
47378,34221,1,Tomcat
96212,210528,2,SWT
34739,285804,11,SWT
130101,188139,3,SWT
59528,254439,6,SWT
99167,210069,4,SWT
99167,210171,1,SWT
134760,173145,7,SWT
105133,205326,3,SWT
82336,229755,4,SWT
34159,203388,7,SWT
90223,226083,1,SWT
105213,205785,2,SWT
35773,284580,10,SWT
72784,217515,1,SWT
97011,212721,4,SWT
108996,186915,11,SWT
66717,248829,1,SWT
55748,254337,1,SWT
146250,172992,2,SWT
46037,265506,3,SWT
113244,195840,1,SWT
57188,244341,7,SWT
134353,176919,9,SWT
85547,231948,3,SWT
87636,218535,10,SWT
91159,218178,3,SWT
28684,265200,4,SWT
150764,172023,1,SWT
77983,239139,11,SWT
63154,253062,5,SWT
24700,278613,1,SWT
74882,241332,4,SWT
97125,212160,1,SWT
62982,251736,5,SWT
32006,272952,10,SWT
68273,245667,10,SWT
55522,257805,11,SWT
118240,193953,3,SWT
68096,248319,1,SWT
82703,230724,3,SWT
33529,285141,6,SWT
123922,180183,1,SWT
129535,188649,8,SWT
123922,180897,11,SWT
83262,235875,11,SWT
131160,186711,8,SWT
90246,215679,2,SWT
86830,220014,1,SWT
63003,252348,1,SWT
58642,248880,1,SWT
70160,246534,11,SWT
63266,218637,1,SWT
93918,217311,5,SWT
145526,176154,2,SWT
85875,231795,6,SWT
55920,257958,4,SWT
123922,180540,11,SWT
99381,194157,10,SWT
83133,186354,2,SWT
43011,270861,2,SWT
78562,238680,4,SWT
40156,273717,4,SWT
100231,208896,8,SWT
72784,217566,3,SWT
33359,278103,3,SWT
37212,281112,10,SWT
99167,210273,1,SWT
96494,213996,3,SWT
94818,217107,8,SWT
73100,240516,7,SWT
124414,191658,1,SWT
102543,207315,8,SWT
37782,276573,9,SWT
87664,230061,3,SWT
117816,194055,10,SWT
85119,232713,9,SWT
85312,223737,6,SWT
93380,195993,10,SWT
79881,226236,11,SWT
33166,278919,11,SWT
74241,242250,2,SWT
67355,249135,1,SWT
94946,214965,10,SWT
55541,257295,8,SWT
54426,190383,11,SWT
54575,254541,9,SWT
87695,227511,1,SWT
105849,205530,11,SWT
87294,220473,4,SWT
32828,262548,2,SWT
87695,228582,11,SWT
134760,173553,5,SWT
123922,180387,2,SWT
110346,199869,11,SWT
67626,222258,10,SWT
137320,178755,3,SWT
56063,252858,11,SWT
65695,249594,9,SWT
133183,174522,2,SWT
90246,215628,11,SWT
9440,383214,1,JDT
20508,368016,4,JDT
50100,294066,3,JDT
47874,298197,2,JDT
44204,277644,11,JDT
77839,253164,6,JDT
53839,289272,3,JDT
41798,310182,11,JDT
79989,247962,11,JDT
29711,347616,11,JDT
85831,232764,2,JDT
28369,352869,2,JDT
19702,367200,11,JDT
46341,288711,9,JDT
36498,323493,11,JDT
45517,303909,11,JDT
46351,302532,8,JDT
40952,307989,5,JDT
66548,263160,2,JDT
81098,241128,5,JDT
36498,323085,11,JDT
60715,279939,2,JDT
61005,276063,10,JDT
78051,248676,1,JDT
67046,262344,1,JDT
47010,280500,4,JDT
58778,282591,7,JDT
30786,348534,3,JDT
56459,284529,4,JDT
37399,319617,5,JDT
49527,284478,10,JDT
53000,285039,11,JDT
18034,375411,5,JDT
72046,258111,2,JDT
29698,350931,2,JDT
33034,336345,1,JDT
43248,286926,11,JDT
46946,301665,5,JDT
56459,284631,8,JDT
38299,318087,7,JDT
28250,352257,7,JDT
51026,263772,2,JDT
27075,354144,11,JDT
64897,268413,11,JDT
29161,351849,11,JDT
63845,270045,3,JDT
66664,263058,1,JDT
40347,313803,1,JDT
73890,257193,4,JDT
83697,241179,11,JDT
63769,270708,11,JDT
77950,248931,1,JDT
17317,376992,1,JDT
38482,278154,4,JDT
62863,272595,8,JDT
23553,353277,7,JDT
18510,369597,10,JDT
85377,234498,2,JDT
74627,247044,3,JDT
81250,240057,9,JDT
88188,232968,7,JDT
37197,320331,9,JDT
32906,326400,2,JDT
57569,276267,11,JDT
9112,378675,11,JDT
72046,258060,2,JDT
32831,336192,5,JDT
26452,356235,10,JDT
60101,279072,11,JDT
23188,365874,11,JDT
16230,371841,5,JDT
17916,373779,6,JDT
49838,289527,10,JDT
25324,346188,6,JDT
9228,381735,3,JDT
48122,300084,6,JDT
53888,282489,5,JDT
88941,231234,1,JDT
17603,376074,10,JDT
81140,240516,1,JDT
31150,344556,11,JDT
32626,329205,8,JDT
28824,351441,2,JDT
34335,325584,4,JDT
66092,265251,10,JDT
66354,246942,1,JDT
40243,239088,1,JDT
28720,338640,3,JDT
82475,241893,11,JDT
63688,260865,10,JDT
45509,304419,1,JDT
23528,364242,5,JDT
63529,270657,10,JDT
44204,277491,1,JDT
23528,364446,7,JDT
48122,300237,9,JDT
27807,348993,9,JDT
88741,231591,1,JDT
32987,335325,1,JDT
77439,252807,5,JDT
29107,346392,3,Eclipse_Platform_UI
72426,320637,10,Eclipse_Platform_UI
169529,215526,7,Eclipse_Platform_UI
147530,218892,1,Eclipse_Platform_UI
137640,247197,3,Eclipse_Platform_UI
53424,337059,9,Eclipse_Platform_UI
164217,227409,3,Eclipse_Platform_UI
167893,214557,6,Eclipse_Platform_UI
59476,282336,2,Eclipse_Platform_UI
161401,232305,1,Eclipse_Platform_UI
98332,299829,5,Eclipse_Platform_UI
82743,294780,9,Eclipse_Platform_UI
89139,307428,7,Eclipse_Platform_UI
123977,279480,10,Eclipse_Platform_UI
161828,232815,9,Eclipse_Platform_UI
138404,246279,3,Eclipse_Platform_UI
77738,319311,8,Eclipse_Platform_UI
113178,274278,10,Eclipse_Platform_UI
26435,350523,5,Eclipse_Platform_UI
126779,272748,1,Eclipse_Platform_UI
73027,322881,11,Eclipse_Platform_UI
96114,301002,3,Eclipse_Platform_UI
38462,339507,3,Eclipse_Platform_UI
53565,335580,4,Eclipse_Platform_UI
123375,275706,7,Eclipse_Platform_UI
50022,337467,9,Eclipse_Platform_UI
114390,287589,2,Eclipse_Platform_UI
123375,275961,8,Eclipse_Platform_UI
169696,213996,3,Eclipse_Platform_UI
38782,343485,8,Eclipse_Platform_UI
123989,277797,2,Eclipse_Platform_UI
169697,213384,11,Eclipse_Platform_UI
147737,242760,5,Eclipse_Platform_UI
66439,325686,10,Eclipse_Platform_UI
35192,344505,7,Eclipse_Platform_UI
127861,269688,11,Eclipse_Platform_UI
129246,261426,3,Eclipse_Platform_UI
171998,212262,9,Eclipse_Platform_UI
26366,350676,10,Eclipse_Platform_UI
126839,258774,11,Eclipse_Platform_UI
162805,227766,2,Eclipse_Platform_UI
95974,301155,10,Eclipse_Platform_UI
136724,245055,4,Eclipse_Platform_UI
76506,320892,1,Eclipse_Platform_UI
88653,306561,9,Eclipse_Platform_UI
127523,261528,8,Eclipse_Platform_UI
169694,213792,2,Eclipse_Platform_UI
123496,279021,5,Eclipse_Platform_UI
