BugId,CId,position,project
104212,43197,8,AspectJ
112615,31365,1,AspectJ
116755,29631,1,AspectJ
117614,27897,1,AspectJ
108120,39015,6,AspectJ
56779,32232,8,AspectJ
118715,26826,2,AspectJ
91417,33150,3,AspectJ
108120,37485,1,AspectJ
91417,32691,1,AspectJ
108120,39423,1,AspectJ
86057,42789,11,AspectJ
119352,26571,3,AspectJ
83935,43401,10,AspectJ
109283,36210,1,AspectJ
104720,42381,9,AspectJ
103051,28968,1,AspectJ
108120,38505,1,AspectJ
116305,30243,10,AspectJ
116255,30192,7,AspectJ
108120,37689,8,AspectJ
116755,29325,8,AspectJ
108117,34476,11,AspectJ
109283,36261,1,AspectJ
108120,38097,3,AspectJ
108826,40137,9,AspectJ
108120,37995,1,AspectJ
113073,31620,1,AspectJ
108117,34425,1,AspectJ
76374,36414,11,AspectJ
103157,28815,3,AspectJ
91417,33354,10,AspectJ
109283,36363,11,AspectJ
108120,38301,6,AspectJ
56779,32385,1,AspectJ
99191,31263,10,AspectJ
113861,31161,9,AspectJ
82989,42585,2,AspectJ
113510,30804,10,AspectJ
108117,33762,2,AspectJ
101606,40800,1,AspectJ
108120,36669,1,AspectJ
56779,32283,10,AspectJ
77076,35547,7,AspectJ
78261,42840,3,AspectJ
118698,27132,1,AspectJ
117614,27693,9,AspectJ
116755,29529,1,AspectJ
108120,38352,3,AspectJ
116755,29937,5,AspectJ
108120,38148,6,AspectJ
109283,36312,3,AspectJ
108892,30906,10,AspectJ
91417,33048,11,AspectJ
108886,40341,2,AspectJ
118715,26877,2,AspectJ
108117,33915,8,AspectJ
108826,40086,1,AspectJ
115235,30396,5,AspectJ
109173,36108,9,AspectJ
77269,34629,1,AspectJ
115607,29172,11,AspectJ
108117,34272,11,AspectJ
103157,28560,7,AspectJ
108120,36771,6,AspectJ
108117,34119,3,AspectJ
117614,27999,8,AspectJ
113118,30447,7,AspectJ
59076,41616,2,AspectJ
109016,40188,8,AspectJ
117614,27948,2,AspectJ
107858,41871,11,AspectJ
118715,26673,7,AspectJ
113073,31671,10,AspectJ
56779,31926,3,AspectJ
117614,27744,1,AspectJ
