BugId,CId,position,project
104212,43197,7,AspectJ
112615,31365,9,AspectJ
116755,29631,7,AspectJ
117614,27897,11,AspectJ
108120,39015,11,AspectJ
56779,32232,9,AspectJ
118715,26826,7,AspectJ
91417,33150,3,AspectJ
108120,37485,11,AspectJ
91417,32691,11,AspectJ
108120,39423,7,AspectJ
86057,42789,10,AspectJ
119352,26571,10,AspectJ
83935,43401,3,AspectJ
109283,36210,11,AspectJ
104720,42381,6,AspectJ
103051,28968,10,AspectJ
108120,38505,11,AspectJ
116305,30243,7,AspectJ
116255,30192,7,AspectJ
108120,37689,9,AspectJ
116755,29325,8,AspectJ
108117,34476,11,AspectJ
109283,36261,11,AspectJ
108120,38097,11,AspectJ
108826,40137,6,AspectJ
108120,37995,11,AspectJ
113073,31620,11,AspectJ
108117,34425,11,AspectJ
76374,36414,11,AspectJ
103157,28815,8,AspectJ
91417,33354,11,AspectJ
109283,36363,11,AspectJ
108120,38301,11,AspectJ
56779,32385,9,AspectJ
99191,31263,11,AspectJ
113861,31161,1,AspectJ
82989,42585,10,AspectJ
113510,30804,11,AspectJ
108117,33762,11,AspectJ
101606,40800,11,AspectJ
108120,36669,3,AspectJ
56779,32283,6,AspectJ
77076,35547,7,AspectJ
78261,42840,11,AspectJ
118698,27132,9,AspectJ
117614,27693,6,AspectJ
116755,29529,8,AspectJ
108120,38352,11,AspectJ
116755,29937,11,AspectJ
108120,38148,9,AspectJ
109283,36312,11,AspectJ
108892,30906,9,AspectJ
91417,33048,11,AspectJ
108886,40341,11,AspectJ
118715,26877,11,AspectJ
108117,33915,11,AspectJ
108826,40086,7,AspectJ
115235,30396,10,AspectJ
109173,36108,11,AspectJ
77269,34629,11,AspectJ
115607,29172,10,AspectJ
108117,34272,11,AspectJ
103157,28560,5,AspectJ
108120,36771,8,AspectJ
108117,34119,11,AspectJ
117614,27999,11,AspectJ
113118,30447,7,AspectJ
59076,41616,11,AspectJ
109016,40188,7,AspectJ
117614,27948,11,AspectJ
107858,41871,8,AspectJ
118715,26673,6,AspectJ
113073,31671,10,AspectJ
56779,31926,11,AspectJ
117614,27744,7,AspectJ
103740,40035,11,AspectJ
120543,26214,11,AspectJ
91417,32589,11,AspectJ
104957,36465,7,AspectJ
116755,29835,4,AspectJ
115235,30294,10,AspectJ
116755,29682,11,AspectJ
117189,28917,11,AspectJ
91114,42891,10,AspectJ
56779,32028,11,AspectJ
108120,37740,7,AspectJ
107713,42279,10,AspectJ
108120,37026,6,AspectJ
108120,38454,6,AspectJ
118715,26724,7,AspectJ
112615,31314,10,AspectJ
104024,41973,11,AspectJ
108118,34833,11,AspectJ
108120,37434,11,AspectJ
112027,31773,9,AspectJ
108120,39729,11,AspectJ
64568,42942,11,AspectJ
82989,42483,10,AspectJ
91417,32895,11,AspectJ
163732,281877,7,Birt
187201,226848,10,Birt
182000,238986,9,Birt
124839,359754,5,Birt
143104,324105,4,Birt
172097,271065,6,Birt
156166,290955,11,Birt
136256,339813,2,Birt
175406,267342,6,Birt
176875,263466,8,Birt
176467,219708,11,Birt
166029,278358,9,Birt
142787,305541,4,Birt
132401,306714,6,Birt
131008,347055,11,Birt
177870,261426,8,Birt
131649,342822,11,Birt
180879,247044,11,Birt
183562,236895,2,Birt
155496,292332,6,Birt
186861,227358,8,Birt
146867,308856,2,Birt
132943,331908,11,Birt
121383,304419,6,Birt
178179,258927,9,Birt
129700,355317,7,Birt
150347,308346,4,Birt
148747,312069,10,Birt
148747,311967,11,Birt
161222,280194,10,Birt
157722,288711,11,Birt
132914,325533,11,Birt
134948,345780,9,Birt
136067,343587,11,Birt
177864,256173,11,Birt
182519,244596,10,Birt
167080,224808,6,Birt
146208,287589,1,Birt
175954,257244,6,Birt
189108,217770,9,Birt
148743,308907,11,Birt
145303,320637,11,Birt
143105,329154,9,Birt
186965,228939,10,Birt
180842,250308,1,Birt
139365,333387,4,Birt
176299,241842,9,Birt
125060,356643,11,Birt
179661,239700,1,Birt
138562,331398,11,Birt
128359,353634,8,Birt
183897,237609,8,Birt
134057,349503,8,Birt
142430,322116,9,Birt
180414,253827,9,Birt
148392,310284,5,Birt
138556,337722,7,Birt
145970,318750,11,Birt
145698,318903,4,Birt
188829,219147,7,Birt
180645,243933,8,Birt
172604,260253,10,Birt
127070,355368,11,Birt
178682,238782,3,Birt
175954,257142,10,Birt
146548,316506,9,Birt
146481,317424,9,Birt
155551,288252,9,Birt
139110,334254,11,Birt
161912,283356,5,Birt
147977,265251,10,Birt
117149,359397,8,Birt
157135,289221,10,Birt
160650,284631,11,Birt
166015,266679,8,Birt
188835,218943,7,Birt
148626,251226,10,Birt
131008,347208,6,Birt
166443,274839,7,Birt
145724,319617,10,Birt
177864,256683,4,Birt
135444,332316,10,Birt
183910,237456,6,Birt
151361,292842,3,Birt
178179,258672,9,Birt
160276,286161,1,Birt
154328,300594,9,Birt
147218,315486,7,Birt
180366,243678,10,Birt
152443,260406,8,Birt
148724,311763,10,Birt
173601,262242,6,Birt
177864,256275,5,Birt
180189,253317,11,Birt
187201,226746,9,Birt
183733,235110,11,Birt
150347,308142,6,Birt
147819,313752,11,Birt
183733,234600,11,Birt
188204,218535,4,Birt
44646,39321,5,Tomcat
46408,36873,2,Tomcat
49143,29580,4,Tomcat
47161,33813,1,Tomcat
38352,35190,10,Tomcat
49102,26622,6,Tomcat
46096,37281,6,Tomcat
46950,33864,9,Tomcat
50087,25959,5,Tomcat
43150,38760,10,Tomcat
45691,37638,9,Tomcat
49142,23001,11,Tomcat
49091,30549,11,Tomcat
49721,27336,9,Tomcat
47320,33609,8,Tomcat
49142,23256,9,Tomcat
47502,32079,4,Tomcat
47216,35292,6,Tomcat
47440,34986,5,Tomcat
44088,40086,11,Tomcat
49376,28458,6,Tomcat
47576,34272,8,Tomcat
49102,26673,7,Tomcat
50027,26010,7,Tomcat
49142,24021,11,Tomcat
49617,27693,10,Tomcat
49207,29019,5,Tomcat
39396,36618,4,Tomcat
50021,26367,6,Tomcat
47364,33456,11,Tomcat
48662,30957,9,Tomcat
49407,27591,11,Tomcat
45591,38097,10,Tomcat
49142,23307,9,Tomcat
48248,32385,11,Tomcat
43080,38454,11,Tomcat
49109,30345,11,Tomcat
44084,40137,10,Tomcat
49142,24327,11,Tomcat
44392,39117,4,Tomcat
49749,27234,10,Tomcat
46011,37077,4,Tomcat
50168,25602,2,Tomcat
49445,28254,4,Tomcat
49109,30192,1,Tomcat
44380,38964,11,Tomcat
43743,39780,2,Tomcat
49127,27795,11,Tomcat
43191,38556,11,Tomcat
50207,25245,9,Tomcat
49376,28356,9,Tomcat
48643,31416,2,Tomcat
46950,33915,8,Tomcat
48120,33099,2,Tomcat
49617,27744,11,Tomcat
43944,40035,10,Tomcat
49142,23562,11,Tomcat
50168,25755,11,Tomcat
48662,30906,3,Tomcat
49142,24123,11,Tomcat
49221,28713,8,Tomcat
43909,39984,5,Tomcat
48960,27999,8,Tomcat
50054,26061,11,Tomcat
42579,35445,10,Tomcat
50308,25398,4,Tomcat
49892,26826,7,Tomcat
48689,29325,11,Tomcat
48689,29427,9,Tomcat
46075,37230,1,Tomcat
49445,28203,11,Tomcat
49142,24990,11,Tomcat
48689,29121,11,Tomcat
48285,32181,5,Tomcat
49142,24429,4,Tomcat
44558,39372,7,Tomcat
49525,28101,7,Tomcat
46696,36516,8,Tomcat
49142,24378,11,Tomcat
45608,37893,4,Tomcat
49142,23103,1,Tomcat
49340,28662,10,Tomcat
43611,40239,10,Tomcat
49142,24174,11,Tomcat
42409,37128,10,Tomcat
49142,22644,11,Tomcat
48689,29478,11,Tomcat
50168,25806,4,Tomcat
49831,26877,8,Tomcat
49730,26265,4,Tomcat
49924,26724,7,Tomcat
50054,26112,10,Tomcat
48135,32895,6,Tomcat
50308,25347,5,Tomcat
48689,29529,10,Tomcat
48371,31263,8,Tomcat
49045,30396,2,Tomcat
48174,32793,1,Tomcat
49478,28050,2,Tomcat
47378,34221,7,Tomcat
96212,210528,8,SWT
34739,285804,4,SWT
130101,188139,10,SWT
59528,254439,6,SWT
99167,210069,11,SWT
99167,210171,7,SWT
134760,173145,1,SWT
105133,205326,8,SWT
82336,229755,11,SWT
34159,203388,8,SWT
90223,226083,6,SWT
105213,205785,3,SWT
35773,284580,3,SWT
72784,217515,5,SWT
97011,212721,3,SWT
108996,186915,11,SWT
66717,248829,1,SWT
55748,254337,7,SWT
146250,172992,10,SWT
46037,265506,9,SWT
113244,195840,11,SWT
57188,244341,10,SWT
134353,176919,8,SWT
85547,231948,2,SWT
87636,218535,2,SWT
91159,218178,7,SWT
28684,265200,8,SWT
150764,172023,9,SWT
77983,239139,10,SWT
63154,253062,10,SWT
24700,278613,9,SWT
74882,241332,11,SWT
97125,212160,9,SWT
62982,251736,8,SWT
32006,272952,10,SWT
68273,245667,11,SWT
55522,257805,11,SWT
118240,193953,3,SWT
68096,248319,6,SWT
82703,230724,10,SWT
33529,285141,10,SWT
123922,180183,11,SWT
129535,188649,7,SWT
123922,180897,11,SWT
83262,235875,8,SWT
131160,186711,11,SWT
90246,215679,9,SWT
86830,220014,5,SWT
63003,252348,5,SWT
58642,248880,10,SWT
70160,246534,11,SWT
63266,218637,9,SWT
93918,217311,7,SWT
145526,176154,8,SWT
85875,231795,10,SWT
55920,257958,9,SWT
123922,180540,11,SWT
99381,194157,11,SWT
83133,186354,9,SWT
43011,270861,6,SWT
78562,238680,6,SWT
40156,273717,9,SWT
100231,208896,10,SWT
72784,217566,8,SWT
33359,278103,3,SWT
37212,281112,5,SWT
99167,210273,8,SWT
96494,213996,10,SWT
94818,217107,5,SWT
73100,240516,7,SWT
124414,191658,11,SWT
102543,207315,4,SWT
37782,276573,8,SWT
87664,230061,8,SWT
117816,194055,10,SWT
85119,232713,11,SWT
85312,223737,11,SWT
93380,195993,11,SWT
79881,226236,11,SWT
33166,278919,9,SWT
74241,242250,1,SWT
67355,249135,10,SWT
94946,214965,11,SWT
55541,257295,2,SWT
54426,190383,11,SWT
54575,254541,10,SWT
87695,227511,11,SWT
105849,205530,10,SWT
87294,220473,3,SWT
32828,262548,9,SWT
87695,228582,11,SWT
134760,173553,1,SWT
123922,180387,11,SWT
110346,199869,11,SWT
67626,222258,6,SWT
137320,178755,9,SWT
56063,252858,11,SWT
65695,249594,8,SWT
133183,174522,7,SWT
90246,215628,11,SWT
9440,383214,11,JDT
20508,368016,10,JDT
50100,294066,9,JDT
47874,298197,5,JDT
44204,277644,11,JDT
77839,253164,8,JDT
53839,289272,9,JDT
41798,310182,11,JDT
79989,247962,11,JDT
29711,347616,10,JDT
85831,232764,11,JDT
28369,352869,9,JDT
19702,367200,11,JDT
46341,288711,10,JDT
36498,323493,11,JDT
45517,303909,8,JDT
46351,302532,10,JDT
40952,307989,6,JDT
66548,263160,11,JDT
81098,241128,11,JDT
36498,323085,11,JDT
60715,279939,9,JDT
61005,276063,11,JDT
78051,248676,11,JDT
67046,262344,9,JDT
47010,280500,3,JDT
58778,282591,3,JDT
30786,348534,7,JDT
56459,284529,9,JDT
37399,319617,4,JDT
49527,284478,8,JDT
53000,285039,6,JDT
18034,375411,6,JDT
72046,258111,6,JDT
29698,350931,8,JDT
33034,336345,11,JDT
43248,286926,11,JDT
46946,301665,7,JDT
56459,284631,8,JDT
38299,318087,3,JDT
28250,352257,7,JDT
51026,263772,11,JDT
27075,354144,7,JDT
64897,268413,11,JDT
29161,351849,11,JDT
63845,270045,9,JDT
66664,263058,10,JDT
40347,313803,9,JDT
73890,257193,11,JDT
83697,241179,11,JDT
63769,270708,11,JDT
77950,248931,1,JDT
17317,376992,10,JDT
38482,278154,7,JDT
62863,272595,11,JDT
23553,353277,9,JDT
18510,369597,9,JDT
85377,234498,7,JDT
74627,247044,4,JDT
81250,240057,11,JDT
88188,232968,7,JDT
37197,320331,7,JDT
32906,326400,11,JDT
57569,276267,11,JDT
9112,378675,11,JDT
72046,258060,5,JDT
32831,336192,6,JDT
26452,356235,7,JDT
60101,279072,9,JDT
23188,365874,10,JDT
16230,371841,11,JDT
17916,373779,10,JDT
49838,289527,7,JDT
25324,346188,11,JDT
9228,381735,10,JDT
48122,300084,5,JDT
53888,282489,10,JDT
88941,231234,11,JDT
17603,376074,4,JDT
