BugId,CId,position,project
104212,43197,7,AspectJ
112615,31365,7,AspectJ
116755,29631,8,AspectJ
117614,27897,8,AspectJ
108120,39015,7,AspectJ
56779,32232,2,AspectJ
118715,26826,1,AspectJ
91417,33150,5,AspectJ
108120,37485,4,AspectJ
91417,32691,3,AspectJ
108120,39423,2,AspectJ
86057,42789,3,AspectJ
119352,26571,7,AspectJ
83935,43401,1,AspectJ
109283,36210,11,AspectJ
104720,42381,6,AspectJ
103051,28968,8,AspectJ
108120,38505,10,AspectJ
116305,30243,8,AspectJ
116255,30192,7,AspectJ
108120,37689,4,AspectJ
116755,29325,10,AspectJ
108117,34476,4,AspectJ
109283,36261,1,AspectJ
108120,38097,4,AspectJ
108826,40137,3,AspectJ
108120,37995,11,AspectJ
113073,31620,11,AspectJ
108117,34425,3,AspectJ
76374,36414,6,AspectJ
103157,28815,3,AspectJ
91417,33354,11,AspectJ
109283,36363,1,AspectJ
108120,38301,10,AspectJ
56779,32385,2,AspectJ
99191,31263,7,AspectJ
113861,31161,6,AspectJ
82989,42585,5,AspectJ
113510,30804,4,AspectJ
108117,33762,3,AspectJ
101606,40800,7,AspectJ
108120,36669,4,AspectJ
56779,32283,2,AspectJ
77076,35547,7,AspectJ
78261,42840,11,AspectJ
118698,27132,11,AspectJ
117614,27693,11,AspectJ
116755,29529,4,AspectJ
108120,38352,10,AspectJ
116755,29937,4,AspectJ
108120,38148,2,AspectJ
109283,36312,2,AspectJ
108892,30906,1,AspectJ
91417,33048,7,AspectJ
108886,40341,6,AspectJ
118715,26877,11,AspectJ
108117,33915,3,AspectJ
108826,40086,11,AspectJ
115235,30396,10,AspectJ
109173,36108,2,AspectJ
77269,34629,11,AspectJ
115607,29172,1,AspectJ
108117,34272,3,AspectJ
103157,28560,2,AspectJ
108120,36771,10,AspectJ
108117,34119,8,AspectJ
117614,27999,9,AspectJ
113118,30447,7,AspectJ
59076,41616,11,AspectJ
109016,40188,8,AspectJ
117614,27948,6,AspectJ
107858,41871,8,AspectJ
118715,26673,2,AspectJ
113073,31671,11,AspectJ
56779,31926,8,AspectJ
117614,27744,6,AspectJ
103740,40035,10,AspectJ
120543,26214,10,AspectJ
91417,32589,4,AspectJ
104957,36465,7,AspectJ
116755,29835,6,AspectJ
115235,30294,10,AspectJ
116755,29682,5,AspectJ
117189,28917,2,AspectJ
91114,42891,9,AspectJ
56779,32028,1,AspectJ
108120,37740,10,AspectJ
107713,42279,9,AspectJ
108120,37026,2,AspectJ
108120,38454,4,AspectJ
118715,26724,11,AspectJ
112615,31314,8,AspectJ
104024,41973,1,AspectJ
108118,34833,8,AspectJ
108120,37434,8,AspectJ
112027,31773,10,AspectJ
108120,39729,8,AspectJ
64568,42942,8,AspectJ
82989,42483,6,AspectJ
91417,32895,5,AspectJ
163732,281877,7,Birt
187201,226848,9,Birt
182000,238986,11,Birt
124839,359754,9,Birt
143104,324105,6,Birt
172097,271065,2,Birt
156166,290955,4,Birt
136256,339813,2,Birt
175406,267342,8,Birt
176875,263466,9,Birt
176467,219708,2,Birt
166029,278358,7,Birt
142787,305541,10,Birt
132401,306714,9,Birt
131008,347055,11,Birt
177870,261426,2,Birt
131649,342822,10,Birt
180879,247044,9,Birt
183562,236895,1,Birt
155496,292332,7,Birt
186861,227358,5,Birt
146867,308856,1,Birt
132943,331908,7,Birt
121383,304419,11,Birt
178179,258927,11,Birt
129700,355317,8,Birt
150347,308346,5,Birt
148747,312069,10,Birt
148747,311967,10,Birt
161222,280194,4,Birt
157722,288711,5,Birt
132914,325533,7,Birt
134948,345780,2,Birt
136067,343587,9,Birt
177864,256173,10,Birt
182519,244596,6,Birt
167080,224808,3,Birt
146208,287589,8,Birt
175954,257244,11,Birt
189108,217770,11,Birt
148743,308907,10,Birt
145303,320637,6,Birt
143105,329154,9,Birt
186965,228939,7,Birt
180842,250308,3,Birt
139365,333387,10,Birt
176299,241842,7,Birt
125060,356643,10,Birt
179661,239700,5,Birt
138562,331398,11,Birt
128359,353634,10,Birt
183897,237609,10,Birt
134057,349503,8,Birt
142430,322116,8,Birt
180414,253827,10,Birt
148392,310284,4,Birt
138556,337722,9,Birt
145970,318750,11,Birt
145698,318903,3,Birt
188829,219147,11,Birt
180645,243933,11,Birt
172604,260253,7,Birt
127070,355368,9,Birt
178682,238782,1,Birt
175954,257142,4,Birt
146548,316506,1,Birt
146481,317424,3,Birt
155551,288252,2,Birt
139110,334254,5,Birt
161912,283356,4,Birt
147977,265251,11,Birt
117149,359397,11,Birt
157135,289221,8,Birt
160650,284631,8,Birt
166015,266679,4,Birt
188835,218943,11,Birt
148626,251226,6,Birt
131008,347208,10,Birt
166443,274839,11,Birt
145724,319617,7,Birt
177864,256683,9,Birt
135444,332316,7,Birt
183910,237456,5,Birt
151361,292842,4,Birt
178179,258672,7,Birt
160276,286161,4,Birt
154328,300594,6,Birt
147218,315486,5,Birt
180366,243678,8,Birt
152443,260406,9,Birt
148724,311763,5,Birt
173601,262242,6,Birt
177864,256275,11,Birt
180189,253317,4,Birt
187201,226746,3,Birt
183733,235110,5,Birt
150347,308142,3,Birt
147819,313752,9,Birt
183733,234600,8,Birt
188204,218535,5,Birt
44646,39321,4,Tomcat
46408,36873,3,Tomcat
49143,29580,9,Tomcat
47161,33813,9,Tomcat
38352,35190,5,Tomcat
49102,26622,9,Tomcat
46096,37281,11,Tomcat
46950,33864,1,Tomcat
50087,25959,11,Tomcat
43150,38760,11,Tomcat
45691,37638,3,Tomcat
49142,23001,11,Tomcat
49091,30549,4,Tomcat
49721,27336,11,Tomcat
47320,33609,6,Tomcat
49142,23256,9,Tomcat
47502,32079,7,Tomcat
47216,35292,7,Tomcat
47440,34986,11,Tomcat
44088,40086,4,Tomcat
49376,28458,8,Tomcat
47576,34272,6,Tomcat
49102,26673,4,Tomcat
50027,26010,7,Tomcat
49142,24021,11,Tomcat
49617,27693,11,Tomcat
49207,29019,5,Tomcat
39396,36618,3,Tomcat
50021,26367,8,Tomcat
47364,33456,9,Tomcat
48662,30957,7,Tomcat
49407,27591,9,Tomcat
45591,38097,3,Tomcat
49142,23307,4,Tomcat
48248,32385,5,Tomcat
43080,38454,11,Tomcat
49109,30345,5,Tomcat
44084,40137,6,Tomcat
49142,24327,11,Tomcat
44392,39117,2,Tomcat
49749,27234,9,Tomcat
46011,37077,10,Tomcat
