BugId,CId,position,project
104212,43197,1,AspectJ
112615,31365,2,AspectJ
116755,29631,3,AspectJ
117614,27897,2,AspectJ
108120,39015,1,AspectJ
56779,32232,8,AspectJ
118715,26826,11,AspectJ
91417,33150,7,AspectJ
108120,37485,1,AspectJ
91417,32691,1,AspectJ
108120,39423,9,AspectJ
86057,42789,1,AspectJ
119352,26571,1,AspectJ
83935,43401,10,AspectJ
109283,36210,2,AspectJ
104720,42381,3,AspectJ
103051,28968,2,AspectJ
108120,38505,2,AspectJ
116305,30243,1,AspectJ
116255,30192,7,AspectJ
108120,37689,3,AspectJ
116755,29325,1,AspectJ
108117,34476,1,AspectJ
109283,36261,2,AspectJ
108120,38097,3,AspectJ
108826,40137,2,AspectJ
108120,37995,1,AspectJ
113073,31620,1,AspectJ
108117,34425,1,AspectJ
76374,36414,3,AspectJ
103157,28815,7,AspectJ
91417,33354,1,AspectJ
109283,36363,2,AspectJ
108120,38301,2,AspectJ
56779,32385,5,AspectJ
99191,31263,1,AspectJ
113861,31161,9,AspectJ
82989,42585,2,AspectJ
113510,30804,2,AspectJ
108117,33762,1,AspectJ
101606,40800,2,AspectJ
108120,36669,6,AspectJ
56779,32283,11,AspectJ
77076,35547,7,AspectJ
78261,42840,4,AspectJ
118698,27132,2,AspectJ
117614,27693,5,AspectJ
116755,29529,2,AspectJ
108120,38352,1,AspectJ
116755,29937,4,AspectJ
108120,38148,3,AspectJ
109283,36312,2,AspectJ
108892,30906,9,AspectJ
91417,33048,1,AspectJ
108886,40341,1,AspectJ
118715,26877,3,AspectJ
108117,33915,1,AspectJ
108826,40086,2,AspectJ
115235,30396,2,AspectJ
109173,36108,1,AspectJ
77269,34629,1,AspectJ
115607,29172,2,AspectJ
108117,34272,1,AspectJ
103157,28560,7,AspectJ
108120,36771,2,AspectJ
108117,34119,1,AspectJ
117614,27999,5,AspectJ
113118,30447,7,AspectJ
59076,41616,1,AspectJ
109016,40188,2,AspectJ
117614,27948,4,AspectJ
107858,41871,4,AspectJ
118715,26673,9,AspectJ
113073,31671,1,AspectJ
56779,31926,1,AspectJ
117614,27744,5,AspectJ
103740,40035,4,AspectJ
120543,26214,2,AspectJ
91417,32589,1,AspectJ
104957,36465,7,AspectJ
116755,29835,5,AspectJ
115235,30294,4,AspectJ
116755,29682,4,AspectJ
117189,28917,8,AspectJ
91114,42891,3,AspectJ
56779,32028,1,AspectJ
108120,37740,1,AspectJ
107713,42279,3,AspectJ
108120,37026,9,AspectJ
