BugId,CId,position,project
104212,43197,6,AspectJ
112615,31365,6,AspectJ
116755,29631,1,AspectJ
117614,27897,6,AspectJ
108120,39015,1,AspectJ
56779,32232,9,AspectJ
118715,26826,8,AspectJ
91417,33150,9,AspectJ
108120,37485,1,AspectJ
91417,32691,1,AspectJ
108120,39423,1,AspectJ
86057,42789,9,AspectJ
119352,26571,1,AspectJ
83935,43401,2,AspectJ
109283,36210,1,AspectJ
104720,42381,1,AspectJ
103051,28968,2,AspectJ
108120,38505,11,AspectJ
116305,30243,7,AspectJ
116255,30192,7,AspectJ
108120,37689,1,AspectJ
116755,29325,7,AspectJ
108117,34476,4,AspectJ
109283,36261,9,AspectJ
108120,38097,3,AspectJ
108826,40137,3,AspectJ
108120,37995,6,AspectJ
113073,31620,3,AspectJ
108117,34425,4,AspectJ
76374,36414,1,AspectJ
103157,28815,2,AspectJ
91417,33354,4,AspectJ
109283,36363,1,AspectJ
108120,38301,1,AspectJ
56779,32385,4,AspectJ
99191,31263,4,AspectJ
113861,31161,9,AspectJ
82989,42585,5,AspectJ
113510,30804,6,AspectJ
108117,33762,4,AspectJ
101606,40800,1,AspectJ
108120,36669,11,AspectJ
56779,32283,6,AspectJ
77076,35547,7,AspectJ
78261,42840,1,AspectJ
118698,27132,11,AspectJ
117614,27693,4,AspectJ
116755,29529,2,AspectJ
108120,38352,1,AspectJ
116755,29937,8,AspectJ
108120,38148,1,AspectJ
109283,36312,1,AspectJ
108892,30906,7,AspectJ
91417,33048,5,AspectJ
108886,40341,8,AspectJ
118715,26877,3,AspectJ
108117,33915,2,AspectJ
108826,40086,1,AspectJ
115235,30396,10,AspectJ
109173,36108,11,AspectJ
77269,34629,2,AspectJ
115607,29172,11,AspectJ
108117,34272,9,AspectJ
103157,28560,2,AspectJ
108120,36771,1,AspectJ
108117,34119,2,AspectJ
117614,27999,5,AspectJ
113118,30447,7,AspectJ
59076,41616,1,AspectJ
109016,40188,3,AspectJ
117614,27948,5,AspectJ
107858,41871,7,AspectJ
118715,26673,3,AspectJ
113073,31671,8,AspectJ
56779,31926,4,AspectJ
117614,27744,6,AspectJ
103740,40035,9,AspectJ
120543,26214,6,AspectJ
91417,32589,1,AspectJ
104957,36465,7,AspectJ
116755,29835,10,AspectJ
115235,30294,5,AspectJ
116755,29682,1,AspectJ
117189,28917,8,AspectJ
91114,42891,8,AspectJ
56779,32028,4,AspectJ
108120,37740,11,AspectJ
107713,42279,10,AspectJ
108120,37026,11,AspectJ
108120,38454,8,AspectJ
118715,26724,2,AspectJ
112615,31314,8,AspectJ
104024,41973,11,AspectJ
108118,34833,11,AspectJ
108120,37434,4,AspectJ
112027,31773,1,AspectJ
108120,39729,1,AspectJ
64568,42942,8,AspectJ
82989,42483,6,AspectJ
91417,32895,1,AspectJ
163732,281877,7,Birt
187201,226848,1,Birt
182000,238986,2,Birt
124839,359754,2,Birt
143104,324105,4,Birt
172097,271065,1,Birt
156166,290955,2,Birt
136256,339813,7,Birt
175406,267342,1,Birt
176875,263466,7,Birt
176467,219708,8,Birt
166029,278358,4,Birt
142787,305541,4,Birt
132401,306714,2,Birt
131008,347055,1,Birt
177870,261426,7,Birt
131649,342822,2,Birt
180879,247044,8,Birt
183562,236895,6,Birt
155496,292332,10,Birt
186861,227358,3,Birt
146867,308856,1,Birt
132943,331908,4,Birt
121383,304419,1,Birt
178179,258927,2,Birt
129700,355317,4,Birt
150347,308346,1,Birt
148747,312069,11,Birt
148747,311967,1,Birt
161222,280194,1,Birt
157722,288711,4,Birt
132914,325533,11,Birt
134948,345780,7,Birt
136067,343587,8,Birt
177864,256173,8,Birt
182519,244596,2,Birt
167080,224808,2,Birt
146208,287589,7,Birt
175954,257244,3,Birt
189108,217770,4,Birt
148743,308907,4,Birt
145303,320637,5,Birt
143105,329154,6,Birt
186965,228939,1,Birt
180842,250308,8,Birt
139365,333387,9,Birt
176299,241842,9,Birt
125060,356643,2,Birt
179661,239700,7,Birt
138562,331398,2,Birt
128359,353634,2,Birt
183897,237609,11,Birt
134057,349503,1,Birt
142430,322116,11,Birt
180414,253827,6,Birt
148392,310284,8,Birt
138556,337722,9,Birt
145970,318750,2,Birt
145698,318903,11,Birt
188829,219147,6,Birt
180645,243933,2,Birt
172604,260253,1,Birt
127070,355368,9,Birt
178682,238782,3,Birt
175954,257142,8,Birt
146548,316506,8,Birt
146481,317424,1,Birt
155551,288252,10,Birt
139110,334254,1,Birt
161912,283356,3,Birt
147977,265251,10,Birt
117149,359397,3,Birt
157135,289221,7,Birt
160650,284631,8,Birt
166015,266679,3,Birt
188835,218943,8,Birt
148626,251226,7,Birt
131008,347208,1,Birt
166443,274839,5,Birt
145724,319617,6,Birt
177864,256683,8,Birt
135444,332316,6,Birt
183910,237456,5,Birt
151361,292842,10,Birt
178179,258672,10,Birt
160276,286161,10,Birt
154328,300594,4,Birt
147218,315486,4,Birt
180366,243678,1,Birt
152443,260406,3,Birt
148724,311763,11,Birt
173601,262242,1,Birt
177864,256275,9,Birt
180189,253317,8,Birt
187201,226746,10,Birt
183733,235110,5,Birt
150347,308142,1,Birt
147819,313752,10,Birt
183733,234600,5,Birt
188204,218535,2,Birt
44646,39321,9,Tomcat
46408,36873,6,Tomcat
49143,29580,9,Tomcat
47161,33813,7,Tomcat
38352,35190,4,Tomcat
49102,26622,4,Tomcat
46096,37281,5,Tomcat
46950,33864,9,Tomcat
50087,25959,7,Tomcat
43150,38760,5,Tomcat
45691,37638,9,Tomcat
49142,23001,2,Tomcat
49091,30549,9,Tomcat
49721,27336,8,Tomcat
47320,33609,11,Tomcat
49142,23256,3,Tomcat
47502,32079,7,Tomcat
47216,35292,7,Tomcat
47440,34986,3,Tomcat
44088,40086,3,Tomcat
49376,28458,3,Tomcat
47576,34272,10,Tomcat
49102,26673,6,Tomcat
50027,26010,7,Tomcat
49142,24021,2,Tomcat
49617,27693,6,Tomcat
49207,29019,1,Tomcat
39396,36618,5,Tomcat
50021,26367,4,Tomcat
47364,33456,6,Tomcat
48662,30957,10,Tomcat
49407,27591,6,Tomcat
45591,38097,11,Tomcat
49142,23307,2,Tomcat
48248,32385,4,Tomcat
43080,38454,4,Tomcat
49109,30345,4,Tomcat
44084,40137,10,Tomcat
