BugId,CId,position,project
104212,43197,3,AspectJ
112615,31365,2,AspectJ
116755,29631,4,AspectJ
117614,27897,4,AspectJ
108120,39015,6,AspectJ
56779,32232,5,AspectJ
118715,26826,8,AspectJ
91417,33150,8,AspectJ
108120,37485,4,AspectJ
91417,32691,2,AspectJ
108120,39423,8,AspectJ
86057,42789,1,AspectJ
119352,26571,1,AspectJ
83935,43401,10,AspectJ
109283,36210,2,AspectJ
104720,42381,5,AspectJ
103051,28968,4,AspectJ
108120,38505,6,AspectJ
116305,30243,7,AspectJ
116255,30192,7,AspectJ
108120,37689,8,AspectJ
116755,29325,6,AspectJ
108117,34476,1,AspectJ
109283,36261,2,AspectJ
108120,38097,4,AspectJ
108826,40137,5,AspectJ
108120,37995,4,AspectJ
113073,31620,6,AspectJ
108117,34425,1,AspectJ
76374,36414,1,AspectJ
103157,28815,4,AspectJ
91417,33354,3,AspectJ
109283,36363,1,AspectJ
108120,38301,6,AspectJ
56779,32385,3,AspectJ
99191,31263,2,AspectJ
113861,31161,10,AspectJ
82989,42585,4,AspectJ
113510,30804,2,AspectJ
108117,33762,1,AspectJ
101606,40800,3,AspectJ
108120,36669,8,AspectJ
56779,32283,4,AspectJ
77076,35547,7,AspectJ
78261,42840,2,AspectJ
118698,27132,4,AspectJ
117614,27693,5,AspectJ
116755,29529,4,AspectJ
108120,38352,6,AspectJ
116755,29937,5,AspectJ
108120,38148,1,AspectJ
109283,36312,2,AspectJ
108892,30906,1,AspectJ
91417,33048,2,AspectJ
108886,40341,4,AspectJ
118715,26877,8,AspectJ
108117,33915,1,AspectJ
108826,40086,6,AspectJ
115235,30396,10,AspectJ
109173,36108,9,AspectJ
77269,34629,1,AspectJ
115607,29172,1,AspectJ
108117,34272,1,AspectJ
103157,28560,2,AspectJ
108120,36771,4,AspectJ
108117,34119,1,AspectJ
117614,27999,9,AspectJ
113118,30447,7,AspectJ
59076,41616,10,AspectJ
109016,40188,3,AspectJ
117614,27948,9,AspectJ
107858,41871,3,AspectJ
118715,26673,2,AspectJ
113073,31671,2,AspectJ
56779,31926,3,AspectJ
117614,27744,9,AspectJ
103740,40035,11,AspectJ
120543,26214,2,AspectJ
91417,32589,3,AspectJ
104957,36465,7,AspectJ
116755,29835,9,AspectJ
115235,30294,9,AspectJ
116755,29682,5,AspectJ
117189,28917,4,AspectJ
91114,42891,3,AspectJ
56779,32028,3,AspectJ
108120,37740,2,AspectJ
107713,42279,3,AspectJ
108120,37026,2,AspectJ
108120,38454,8,AspectJ
118715,26724,7,AspectJ
112615,31314,4,AspectJ
104024,41973,4,AspectJ
108118,34833,2,AspectJ
108120,37434,2,AspectJ
112027,31773,4,AspectJ
108120,39729,8,AspectJ
64568,42942,3,AspectJ
82989,42483,4,AspectJ
91417,32895,3,AspectJ
163732,281877,7,Birt
187201,226848,3,Birt
182000,238986,4,Birt
124839,359754,8,Birt
143104,324105,7,Birt
172097,271065,4,Birt
156166,290955,10,Birt
136256,339813,8,Birt
175406,267342,8,Birt
176875,263466,3,Birt
176467,219708,1,Birt
166029,278358,2,Birt
142787,305541,1,Birt
132401,306714,6,Birt
131008,347055,10,Birt
177870,261426,4,Birt
131649,342822,3,Birt
180879,247044,10,Birt
183562,236895,8,Birt
155496,292332,5,Birt
186861,227358,5,Birt
146867,308856,8,Birt
132943,331908,2,Birt
121383,304419,4,Birt
178179,258927,2,Birt
129700,355317,8,Birt
150347,308346,7,Birt
148747,312069,5,Birt
148747,311967,3,Birt
161222,280194,7,Birt
157722,288711,4,Birt
132914,325533,3,Birt
134948,345780,7,Birt
136067,343587,7,Birt
177864,256173,1,Birt
182519,244596,10,Birt
167080,224808,7,Birt
146208,287589,7,Birt
175954,257244,8,Birt
189108,217770,3,Birt
148743,308907,6,Birt
145303,320637,3,Birt
143105,329154,4,Birt
186965,228939,7,Birt
180842,250308,2,Birt
139365,333387,4,Birt
176299,241842,10,Birt
125060,356643,2,Birt
179661,239700,9,Birt
138562,331398,5,Birt
128359,353634,6,Birt
183897,237609,6,Birt
134057,349503,2,Birt
142430,322116,2,Birt
180414,253827,1,Birt
148392,310284,1,Birt
138556,337722,10,Birt
145970,318750,7,Birt
145698,318903,3,Birt
188829,219147,3,Birt
180645,243933,2,Birt
172604,260253,9,Birt
127070,355368,5,Birt
178682,238782,9,Birt
175954,257142,9,Birt
146548,316506,5,Birt
146481,317424,5,Birt
155551,288252,1,Birt
139110,334254,3,Birt
161912,283356,10,Birt
147977,265251,5,Birt
117149,359397,5,Birt
157135,289221,7,Birt
160650,284631,7,Birt
166015,266679,5,Birt
188835,218943,4,Birt
