BugId,CId,position,project
104212,43197,7,AspectJ
112615,31365,2,AspectJ
116755,29631,1,AspectJ
117614,27897,10,AspectJ
108120,39015,8,AspectJ
56779,32232,3,AspectJ
118715,26826,2,AspectJ
91417,33150,1,AspectJ
108120,37485,8,AspectJ
91417,32691,1,AspectJ
108120,39423,6,AspectJ
86057,42789,2,AspectJ
119352,26571,5,AspectJ
83935,43401,2,AspectJ
109283,36210,2,AspectJ
104720,42381,3,AspectJ
103051,28968,1,AspectJ
108120,38505,8,AspectJ
116305,30243,7,AspectJ
116255,30192,7,AspectJ
108120,37689,8,AspectJ
116755,29325,10,AspectJ
108117,34476,8,AspectJ
109283,36261,1,AspectJ
108120,38097,8,AspectJ
108826,40137,3,AspectJ
108120,37995,8,AspectJ
113073,31620,4,AspectJ
108117,34425,8,AspectJ
76374,36414,5,AspectJ
103157,28815,6,AspectJ
91417,33354,11,AspectJ
109283,36363,2,AspectJ
108120,38301,11,AspectJ
56779,32385,1,AspectJ
99191,31263,5,AspectJ
113861,31161,4,AspectJ
82989,42585,3,AspectJ
113510,30804,8,AspectJ
108117,33762,8,AspectJ
101606,40800,5,AspectJ
108120,36669,11,AspectJ
56779,32283,7,AspectJ
77076,35547,7,AspectJ
78261,42840,9,AspectJ
118698,27132,7,AspectJ
117614,27693,10,AspectJ
116755,29529,4,AspectJ
108120,38352,8,AspectJ
116755,29937,8,AspectJ
108120,38148,3,AspectJ
109283,36312,2,AspectJ
108892,30906,1,AspectJ
91417,33048,8,AspectJ
108886,40341,9,AspectJ
118715,26877,9,AspectJ
108117,33915,8,AspectJ
108826,40086,8,AspectJ
115235,30396,3,AspectJ
109173,36108,6,AspectJ
77269,34629,2,AspectJ
115607,29172,3,AspectJ
108117,34272,6,AspectJ
103157,28560,1,AspectJ
108120,36771,6,AspectJ
108117,34119,8,AspectJ
117614,27999,10,AspectJ
113118,30447,7,AspectJ
59076,41616,10,AspectJ
109016,40188,4,AspectJ
117614,27948,10,AspectJ
107858,41871,7,AspectJ
118715,26673,1,AspectJ
113073,31671,9,AspectJ
56779,31926,3,AspectJ
117614,27744,2,AspectJ
103740,40035,8,AspectJ
120543,26214,8,AspectJ
91417,32589,9,AspectJ
104957,36465,7,AspectJ
116755,29835,11,AspectJ
115235,30294,2,AspectJ
116755,29682,6,AspectJ
117189,28917,11,AspectJ
91114,42891,8,AspectJ
56779,32028,1,AspectJ
108120,37740,8,AspectJ
107713,42279,6,AspectJ
108120,37026,6,AspectJ
108120,38454,8,AspectJ
118715,26724,5,AspectJ
112615,31314,4,AspectJ
104024,41973,7,AspectJ
108118,34833,11,AspectJ
108120,37434,8,AspectJ
112027,31773,5,AspectJ
108120,39729,8,AspectJ
64568,42942,5,AspectJ
82989,42483,8,AspectJ
91417,32895,5,AspectJ
163732,281877,7,Birt
187201,226848,7,Birt
182000,238986,1,Birt
124839,359754,3,Birt
143104,324105,5,Birt
172097,271065,9,Birt
156166,290955,1,Birt
