BugId,CId,position,project
104212,43197,11,AspectJ
112615,31365,3,AspectJ
116755,29631,2,AspectJ
117614,27897,6,AspectJ
108120,39015,11,AspectJ
56779,32232,2,AspectJ
118715,26826,4,AspectJ
91417,33150,4,AspectJ
108120,37485,11,AspectJ
91417,32691,2,AspectJ
108120,39423,7,AspectJ
86057,42789,1,AspectJ
119352,26571,7,AspectJ
83935,43401,4,AspectJ
109283,36210,6,AspectJ
104720,42381,4,AspectJ
103051,28968,10,AspectJ
108120,38505,11,AspectJ
116305,30243,7,AspectJ
116255,30192,7,AspectJ
108120,37689,8,AspectJ
116755,29325,11,AspectJ
108117,34476,11,AspectJ
109283,36261,1,AspectJ
108120,38097,11,AspectJ
108826,40137,6,AspectJ
108120,37995,8,AspectJ
113073,31620,9,AspectJ
108117,34425,11,AspectJ
76374,36414,10,AspectJ
103157,28815,7,AspectJ
91417,33354,9,AspectJ
109283,36363,5,AspectJ
108120,38301,11,AspectJ
56779,32385,1,AspectJ
99191,31263,9,AspectJ
113861,31161,6,AspectJ
82989,42585,1,AspectJ
113510,30804,10,AspectJ
108117,33762,11,AspectJ
101606,40800,9,AspectJ
108120,36669,11,AspectJ
56779,32283,2,AspectJ
77076,35547,7,AspectJ
78261,42840,8,AspectJ
118698,27132,10,AspectJ
117614,27693,6,AspectJ
116755,29529,3,AspectJ
108120,38352,11,AspectJ
116755,29937,10,AspectJ
108120,38148,1,AspectJ
109283,36312,1,AspectJ
108892,30906,4,AspectJ
91417,33048,5,AspectJ
108886,40341,11,AspectJ
118715,26877,11,AspectJ
108117,33915,8,AspectJ
108826,40086,11,AspectJ
115235,30396,11,AspectJ
109173,36108,11,AspectJ
77269,34629,1,AspectJ
115607,29172,3,AspectJ
108117,34272,11,AspectJ
103157,28560,2,AspectJ
108120,36771,6,AspectJ
108117,34119,11,AspectJ
117614,27999,8,AspectJ
113118,30447,7,AspectJ
59076,41616,11,AspectJ
109016,40188,3,AspectJ
117614,27948,8,AspectJ
107858,41871,11,AspectJ
118715,26673,3,AspectJ
113073,31671,9,AspectJ
56779,31926,2,AspectJ
117614,27744,3,AspectJ
103740,40035,11,AspectJ
120543,26214,10,AspectJ
91417,32589,5,AspectJ
104957,36465,7,AspectJ
116755,29835,3,AspectJ
115235,30294,6,AspectJ
116755,29682,8,AspectJ
117189,28917,7,AspectJ
91114,42891,11,AspectJ
56779,32028,2,AspectJ
108120,37740,11,AspectJ
107713,42279,11,AspectJ
108120,37026,1,AspectJ
108120,38454,8,AspectJ
118715,26724,4,AspectJ
112615,31314,8,AspectJ
104024,41973,7,AspectJ
108118,34833,10,AspectJ
108120,37434,11,AspectJ
112027,31773,11,AspectJ
108120,39729,7,AspectJ
64568,42942,8,AspectJ
82989,42483,6,AspectJ
91417,32895,5,AspectJ
163732,281877,7,Birt
187201,226848,5,Birt
182000,238986,9,Birt
124839,359754,9,Birt
143104,324105,11,Birt
172097,271065,8,Birt
156166,290955,5,Birt
136256,339813,11,Birt
175406,267342,5,Birt
176875,263466,6,Birt
176467,219708,10,Birt
166029,278358,9,Birt
142787,305541,7,Birt
132401,306714,11,Birt
131008,347055,11,Birt
177870,261426,10,Birt
131649,342822,6,Birt
180879,247044,6,Birt
183562,236895,4,Birt
155496,292332,6,Birt
186861,227358,9,Birt
146867,308856,1,Birt
132943,331908,1,Birt
121383,304419,2,Birt
178179,258927,10,Birt
129700,355317,11,Birt
150347,308346,2,Birt
148747,312069,8,Birt
148747,311967,8,Birt
161222,280194,3,Birt
157722,288711,1,Birt
132914,325533,11,Birt
134948,345780,7,Birt
136067,343587,10,Birt
177864,256173,10,Birt
182519,244596,11,Birt
167080,224808,1,Birt
146208,287589,8,Birt
175954,257244,4,Birt
189108,217770,7,Birt
148743,308907,3,Birt
145303,320637,10,Birt
143105,329154,10,Birt
186965,228939,1,Birt
180842,250308,8,Birt
139365,333387,8,Birt
176299,241842,11,Birt
125060,356643,3,Birt
179661,239700,5,Birt
138562,331398,8,Birt
128359,353634,8,Birt
183897,237609,10,Birt
134057,349503,1,Birt
142430,322116,11,Birt
180414,253827,5,Birt
148392,310284,5,Birt
138556,337722,10,Birt
145970,318750,11,Birt
145698,318903,8,Birt
188829,219147,10,Birt
180645,243933,5,Birt
172604,260253,4,Birt
127070,355368,11,Birt
178682,238782,2,Birt
175954,257142,7,Birt
146548,316506,10,Birt
146481,317424,4,Birt
155551,288252,9,Birt
139110,334254,9,Birt
161912,283356,3,Birt
147977,265251,2,Birt
117149,359397,10,Birt
157135,289221,7,Birt
160650,284631,3,Birt
166015,266679,2,Birt
188835,218943,9,Birt
148626,251226,8,Birt
131008,347208,5,Birt
166443,274839,11,Birt
145724,319617,10,Birt
177864,256683,10,Birt
135444,332316,11,Birt
183910,237456,11,Birt
151361,292842,7,Birt
