BugId,CId,position,project
104212,43197,10,AspectJ
112615,31365,9,AspectJ
116755,29631,6,AspectJ
117614,27897,7,AspectJ
108120,39015,11,AspectJ
56779,32232,7,AspectJ
118715,26826,7,AspectJ
91417,33150,9,AspectJ
108120,37485,11,AspectJ
91417,32691,10,AspectJ
108120,39423,7,AspectJ
86057,42789,9,AspectJ
119352,26571,11,AspectJ
83935,43401,6,AspectJ
109283,36210,11,AspectJ
104720,42381,5,AspectJ
103051,28968,11,AspectJ
108120,38505,11,AspectJ
116305,30243,7,AspectJ
116255,30192,7,AspectJ
108120,37689,11,AspectJ
116755,29325,9,AspectJ
108117,34476,11,AspectJ
109283,36261,11,AspectJ
108120,38097,11,AspectJ
108826,40137,9,AspectJ
108120,37995,11,AspectJ
113073,31620,10,AspectJ
108117,34425,10,AspectJ
76374,36414,9,AspectJ
103157,28815,9,AspectJ
91417,33354,11,AspectJ
109283,36363,11,AspectJ
108120,38301,11,AspectJ
56779,32385,9,AspectJ
99191,31263,10,AspectJ
113861,31161,6,AspectJ
82989,42585,9,AspectJ
113510,30804,8,AspectJ
108117,33762,11,AspectJ
101606,40800,11,AspectJ
108120,36669,1,AspectJ
56779,32283,9,AspectJ
77076,35547,7,AspectJ
78261,42840,11,AspectJ
118698,27132,9,AspectJ
117614,27693,5,AspectJ
116755,29529,9,AspectJ
108120,38352,11,AspectJ
116755,29937,9,AspectJ
108120,38148,11,AspectJ
109283,36312,11,AspectJ
108892,30906,10,AspectJ
91417,33048,11,AspectJ
108886,40341,9,AspectJ
118715,26877,9,AspectJ
108117,33915,11,AspectJ
108826,40086,11,AspectJ
115235,30396,9,AspectJ
109173,36108,11,AspectJ
77269,34629,11,AspectJ
115607,29172,11,AspectJ
108117,34272,11,AspectJ
103157,28560,4,AspectJ
108120,36771,7,AspectJ
108117,34119,10,AspectJ
117614,27999,9,AspectJ
113118,30447,7,AspectJ
59076,41616,11,AspectJ
109016,40188,7,AspectJ
117614,27948,9,AspectJ
107858,41871,11,AspectJ
118715,26673,6,AspectJ
113073,31671,11,AspectJ
56779,31926,9,AspectJ
117614,27744,9,AspectJ
103740,40035,4,AspectJ
120543,26214,11,AspectJ
91417,32589,11,AspectJ
104957,36465,7,AspectJ
116755,29835,4,AspectJ
115235,30294,11,AspectJ
116755,29682,8,AspectJ
117189,28917,10,AspectJ
91114,42891,10,AspectJ
56779,32028,11,AspectJ
108120,37740,11,AspectJ
107713,42279,8,AspectJ
108120,37026,7,AspectJ
108120,38454,6,AspectJ
118715,26724,9,AspectJ
112615,31314,10,AspectJ
104024,41973,11,AspectJ
108118,34833,11,AspectJ
108120,37434,11,AspectJ
112027,31773,11,AspectJ
108120,39729,6,AspectJ
64568,42942,8,AspectJ
82989,42483,11,AspectJ
91417,32895,10,AspectJ
163732,281877,7,Birt
187201,226848,10,Birt
182000,238986,9,Birt
124839,359754,10,Birt
143104,324105,6,Birt
172097,271065,11,Birt
156166,290955,9,Birt
136256,339813,5,Birt
175406,267342,6,Birt
176875,263466,7,Birt
176467,219708,11,Birt
166029,278358,11,Birt
142787,305541,7,Birt
132401,306714,8,Birt
131008,347055,8,Birt
177870,261426,4,Birt
131649,342822,11,Birt
180879,247044,11,Birt
183562,236895,8,Birt
155496,292332,6,Birt
186861,227358,9,Birt
146867,308856,2,Birt
132943,331908,8,Birt
121383,304419,5,Birt
178179,258927,9,Birt
129700,355317,10,Birt
150347,308346,4,Birt
148747,312069,11,Birt
148747,311967,10,Birt
161222,280194,11,Birt
157722,288711,7,Birt
132914,325533,9,Birt
134948,345780,7,Birt
136067,343587,9,Birt
177864,256173,11,Birt
182519,244596,7,Birt
167080,224808,7,Birt
146208,287589,4,Birt
175954,257244,11,Birt
189108,217770,7,Birt
148743,308907,10,Birt
145303,320637,10,Birt
143105,329154,11,Birt
186965,228939,7,Birt
180842,250308,1,Birt
139365,333387,5,Birt
176299,241842,10,Birt
125060,356643,11,Birt
179661,239700,1,Birt
138562,331398,11,Birt
128359,353634,8,Birt
183897,237609,8,Birt
134057,349503,10,Birt
142430,322116,11,Birt
180414,253827,11,Birt
148392,310284,10,Birt
138556,337722,8,Birt
145970,318750,10,Birt
145698,318903,10,Birt
188829,219147,10,Birt
180645,243933,9,Birt
172604,260253,11,Birt
127070,355368,9,Birt
178682,238782,1,Birt
175954,257142,11,Birt
146548,316506,11,Birt
146481,317424,8,Birt
155551,288252,8,Birt
139110,334254,10,Birt
161912,283356,4,Birt
147977,265251,9,Birt
117149,359397,11,Birt
157135,289221,7,Birt
160650,284631,5,Birt
166015,266679,1,Birt
188835,218943,6,Birt
148626,251226,10,Birt
131008,347208,4,Birt
166443,274839,11,Birt
145724,319617,11,Birt
177864,256683,4,Birt
135444,332316,10,Birt
183910,237456,7,Birt
151361,292842,3,Birt
178179,258672,9,Birt
160276,286161,2,Birt
154328,300594,9,Birt
147218,315486,9,Birt
180366,243678,9,Birt
152443,260406,7,Birt
148724,311763,11,Birt
173601,262242,9,Birt
177864,256275,4,Birt
180189,253317,8,Birt
187201,226746,4,Birt
183733,235110,11,Birt
150347,308142,6,Birt
147819,313752,8,Birt
183733,234600,11,Birt
188204,218535,11,Birt
44646,39321,6,Tomcat
46408,36873,5,Tomcat
49143,29580,10,Tomcat
47161,33813,7,Tomcat
38352,35190,6,Tomcat
49102,26622,11,Tomcat
46096,37281,6,Tomcat
46950,33864,10,Tomcat
50087,25959,5,Tomcat
43150,38760,8,Tomcat
45691,37638,6,Tomcat
49142,23001,11,Tomcat
49091,30549,8,Tomcat
49721,27336,10,Tomcat
47320,33609,7,Tomcat
49142,23256,1,Tomcat
47502,32079,7,Tomcat
47216,35292,11,Tomcat
47440,34986,5,Tomcat
44088,40086,11,Tomcat
49376,28458,11,Tomcat
47576,34272,6,Tomcat
49102,26673,7,Tomcat
50027,26010,7,Tomcat
49142,24021,11,Tomcat
49617,27693,11,Tomcat
49207,29019,6,Tomcat
39396,36618,7,Tomcat
50021,26367,11,Tomcat
47364,33456,4,Tomcat
48662,30957,11,Tomcat
49407,27591,11,Tomcat
45591,38097,8,Tomcat
49142,23307,5,Tomcat
48248,32385,10,Tomcat
43080,38454,9,Tomcat
49109,30345,11,Tomcat
44084,40137,11,Tomcat
49142,24327,11,Tomcat
44392,39117,6,Tomcat
49749,27234,11,Tomcat
46011,37077,6,Tomcat
50168,25602,1,Tomcat
49445,28254,4,Tomcat
49109,30192,1,Tomcat
44380,38964,4,Tomcat
43743,39780,6,Tomcat
49127,27795,5,Tomcat
43191,38556,9,Tomcat
50207,25245,11,Tomcat
49376,28356,11,Tomcat
48643,31416,5,Tomcat
46950,33915,10,Tomcat
48120,33099,3,Tomcat
49617,27744,9,Tomcat
43944,40035,10,Tomcat
49142,23562,11,Tomcat
50168,25755,11,Tomcat
48662,30906,10,Tomcat
49142,24123,11,Tomcat
49221,28713,8,Tomcat
43909,39984,3,Tomcat
48960,27999,8,Tomcat
50054,26061,11,Tomcat
42579,35445,8,Tomcat
50308,25398,8,Tomcat
49892,26826,11,Tomcat
48689,29325,9,Tomcat
48689,29427,9,Tomcat
46075,37230,3,Tomcat
49445,28203,11,Tomcat
49142,24990,6,Tomcat
48689,29121,9,Tomcat
48285,32181,6,Tomcat
49142,24429,5,Tomcat
44558,39372,6,Tomcat
49525,28101,5,Tomcat
46696,36516,7,Tomcat
49142,24378,11,Tomcat
45608,37893,7,Tomcat
49142,23103,1,Tomcat
49340,28662,8,Tomcat
43611,40239,11,Tomcat
49142,24174,11,Tomcat
42409,37128,8,Tomcat
49142,22644,11,Tomcat
48689,29478,9,Tomcat
50168,25806,5,Tomcat
49831,26877,3,Tomcat
49730,26265,4,Tomcat
49924,26724,5,Tomcat
50054,26112,9,Tomcat
48135,32895,2,Tomcat
50308,25347,3,Tomcat
48689,29529,10,Tomcat
48371,31263,11,Tomcat
49045,30396,3,Tomcat
48174,32793,2,Tomcat
49478,28050,4,Tomcat
47378,34221,8,Tomcat
96212,210528,8,SWT
34739,285804,11,SWT
130101,188139,9,SWT
59528,254439,7,SWT
99167,210069,8,SWT
99167,210171,5,SWT
134760,173145,10,SWT
105133,205326,7,SWT
82336,229755,10,SWT
34159,203388,4,SWT
90223,226083,10,SWT
105213,205785,10,SWT
35773,284580,9,SWT
72784,217515,6,SWT
97011,212721,11,SWT
108996,186915,8,SWT
66717,248829,8,SWT
55748,254337,9,SWT
146250,172992,11,SWT
46037,265506,6,SWT
113244,195840,11,SWT
57188,244341,9,SWT
134353,176919,11,SWT
85547,231948,7,SWT
87636,218535,4,SWT
91159,218178,9,SWT
28684,265200,9,SWT
150764,172023,9,SWT
77983,239139,9,SWT
63154,253062,11,SWT
24700,278613,6,SWT
74882,241332,10,SWT
97125,212160,7,SWT
62982,251736,11,SWT
32006,272952,11,SWT
68273,245667,9,SWT
55522,257805,1,SWT
118240,193953,6,SWT
68096,248319,7,SWT
82703,230724,11,SWT
33529,285141,8,SWT
123922,180183,11,SWT
129535,188649,6,SWT
123922,180897,11,SWT
83262,235875,9,SWT
131160,186711,1,SWT
90246,215679,3,SWT
86830,220014,9,SWT
63003,252348,10,SWT
58642,248880,8,SWT
