BugId,CId,position,project
104212,43197,1,AspectJ
112615,31365,4,AspectJ
116755,29631,6,AspectJ
117614,27897,9,AspectJ
108120,39015,2,AspectJ
56779,32232,3,AspectJ
118715,26826,5,AspectJ
91417,33150,3,AspectJ
108120,37485,2,AspectJ
91417,32691,2,AspectJ
108120,39423,4,AspectJ
86057,42789,3,AspectJ
119352,26571,2,AspectJ
83935,43401,8,AspectJ
109283,36210,1,AspectJ
104720,42381,10,AspectJ
103051,28968,2,AspectJ
108120,38505,4,AspectJ
116305,30243,7,AspectJ
116255,30192,7,AspectJ
108120,37689,2,AspectJ
116755,29325,1,AspectJ
108117,34476,2,AspectJ
109283,36261,1,AspectJ
108120,38097,2,AspectJ
108826,40137,2,AspectJ
108120,37995,4,AspectJ
113073,31620,4,AspectJ
108117,34425,2,AspectJ
76374,36414,3,AspectJ
103157,28815,5,AspectJ
91417,33354,1,AspectJ
109283,36363,1,AspectJ
108120,38301,4,AspectJ
56779,32385,1,AspectJ
99191,31263,1,AspectJ
113861,31161,10,AspectJ
82989,42585,2,AspectJ
113510,30804,4,AspectJ
108117,33762,2,AspectJ
101606,40800,2,AspectJ
108120,36669,11,AspectJ
56779,32283,4,AspectJ
77076,35547,7,AspectJ
78261,42840,3,AspectJ
118698,27132,2,AspectJ
117614,27693,3,AspectJ
116755,29529,10,AspectJ
108120,38352,4,AspectJ
116755,29937,5,AspectJ
108120,38148,2,AspectJ
109283,36312,2,AspectJ
108892,30906,4,AspectJ
91417,33048,1,AspectJ
108886,40341,6,AspectJ
118715,26877,5,AspectJ
108117,33915,1,AspectJ
108826,40086,3,AspectJ
115235,30396,10,AspectJ
109173,36108,3,AspectJ
77269,34629,3,AspectJ
115607,29172,3,AspectJ
108117,34272,1,AspectJ
103157,28560,9,AspectJ
108120,36771,4,AspectJ
108117,34119,1,AspectJ
117614,27999,9,AspectJ
113118,30447,7,AspectJ
59076,41616,4,AspectJ
109016,40188,2,AspectJ
117614,27948,9,AspectJ
107858,41871,1,AspectJ
118715,26673,6,AspectJ
113073,31671,3,AspectJ
56779,31926,4,AspectJ
117614,27744,1,AspectJ
103740,40035,10,AspectJ
120543,26214,2,AspectJ
91417,32589,1,AspectJ
104957,36465,7,AspectJ
116755,29835,9,AspectJ
115235,30294,10,AspectJ
116755,29682,6,AspectJ
117189,28917,3,AspectJ
91114,42891,1,AspectJ
56779,32028,4,AspectJ
108120,37740,2,AspectJ
107713,42279,10,AspectJ
108120,37026,4,AspectJ
108120,38454,8,AspectJ
118715,26724,5,AspectJ
112615,31314,3,AspectJ
104024,41973,4,AspectJ
108118,34833,1,AspectJ
108120,37434,1,AspectJ
112027,31773,4,AspectJ
108120,39729,2,AspectJ
64568,42942,2,AspectJ
82989,42483,2,AspectJ
91417,32895,2,AspectJ
163732,281877,7,Birt
187201,226848,1,Birt
182000,238986,2,Birt
124839,359754,6,Birt
143104,324105,1,Birt
172097,271065,7,Birt
156166,290955,1,Birt
136256,339813,1,Birt
175406,267342,6,Birt
176875,263466,2,Birt
176467,219708,1,Birt
166029,278358,1,Birt
142787,305541,1,Birt
132401,306714,2,Birt
131008,347055,8,Birt
177870,261426,2,Birt
131649,342822,5,Birt
180879,247044,1,Birt
183562,236895,11,Birt
155496,292332,3,Birt
186861,227358,1,Birt
146867,308856,7,Birt
132943,331908,7,Birt
121383,304419,6,Birt
178179,258927,7,Birt
129700,355317,2,Birt
150347,308346,10,Birt
148747,312069,2,Birt
148747,311967,2,Birt
161222,280194,8,Birt
157722,288711,1,Birt
132914,325533,5,Birt
134948,345780,7,Birt
136067,343587,2,Birt
177864,256173,5,Birt
182519,244596,1,Birt
167080,224808,7,Birt
146208,287589,7,Birt
175954,257244,4,Birt
189108,217770,2,Birt
148743,308907,3,Birt
145303,320637,1,Birt
143105,329154,2,Birt
186965,228939,6,Birt
180842,250308,11,Birt
139365,333387,4,Birt
176299,241842,2,Birt
125060,356643,4,Birt
179661,239700,10,Birt
138562,331398,1,Birt
128359,353634,6,Birt
183897,237609,2,Birt
134057,349503,4,Birt
142430,322116,5,Birt
180414,253827,5,Birt
148392,310284,5,Birt
138556,337722,6,Birt
145970,318750,1,Birt
145698,318903,2,Birt
188829,219147,1,Birt
180645,243933,5,Birt
172604,260253,1,Birt
127070,355368,3,Birt
178682,238782,11,Birt
175954,257142,4,Birt
146548,316506,2,Birt
146481,317424,3,Birt
155551,288252,1,Birt
139110,334254,3,Birt
161912,283356,9,Birt
147977,265251,5,Birt
117149,359397,2,Birt
157135,289221,7,Birt
160650,284631,8,Birt
166015,266679,4,Birt
188835,218943,1,Birt
148626,251226,4,Birt
131008,347208,1,Birt
166443,274839,4,Birt
145724,319617,3,Birt
177864,256683,11,Birt
135444,332316,1,Birt
183910,237456,3,Birt
151361,292842,3,Birt
178179,258672,9,Birt
160276,286161,9,Birt
154328,300594,7,Birt
147218,315486,8,Birt
180366,243678,2,Birt
152443,260406,3,Birt
148724,311763,9,Birt
173601,262242,2,Birt
177864,256275,3,Birt
180189,253317,8,Birt
187201,226746,1,Birt
183733,235110,1,Birt
150347,308142,5,Birt
147819,313752,3,Birt
183733,234600,1,Birt
188204,218535,10,Birt
44646,39321,3,Tomcat
46408,36873,6,Tomcat
49143,29580,7,Tomcat
47161,33813,11,Tomcat
38352,35190,4,Tomcat
49102,26622,4,Tomcat
46096,37281,1,Tomcat
46950,33864,2,Tomcat
50087,25959,7,Tomcat
43150,38760,3,Tomcat
45691,37638,1,Tomcat
49142,23001,1,Tomcat
49091,30549,7,Tomcat
49721,27336,2,Tomcat
47320,33609,1,Tomcat
49142,23256,1,Tomcat
47502,32079,7,Tomcat
47216,35292,5,Tomcat
47440,34986,3,Tomcat
44088,40086,4,Tomcat
49376,28458,3,Tomcat
47576,34272,1,Tomcat
49102,26673,10,Tomcat
50027,26010,7,Tomcat
49142,24021,1,Tomcat
49617,27693,4,Tomcat
49207,29019,6,Tomcat
39396,36618,6,Tomcat
50021,26367,3,Tomcat
47364,33456,1,Tomcat
48662,30957,8,Tomcat
49407,27591,6,Tomcat
45591,38097,7,Tomcat
49142,23307,6,Tomcat
48248,32385,1,Tomcat
43080,38454,1,Tomcat
49109,30345,4,Tomcat
44084,40137,5,Tomcat
49142,24327,1,Tomcat
44392,39117,6,Tomcat
49749,27234,2,Tomcat
46011,37077,3,Tomcat
50168,25602,11,Tomcat
49445,28254,9,Tomcat
49109,30192,11,Tomcat
44380,38964,3,Tomcat
43743,39780,6,Tomcat
49127,27795,6,Tomcat
43191,38556,1,Tomcat
50207,25245,1,Tomcat
49376,28356,4,Tomcat
48643,31416,4,Tomcat
46950,33915,2,Tomcat
48120,33099,11,Tomcat
49617,27744,3,Tomcat
43944,40035,9,Tomcat
49142,23562,1,Tomcat
50168,25755,2,Tomcat
48662,30906,1,Tomcat
49142,24123,1,Tomcat
49221,28713,3,Tomcat
43909,39984,8,Tomcat
48960,27999,1,Tomcat
50054,26061,2,Tomcat
42579,35445,4,Tomcat
50308,25398,6,Tomcat
49892,26826,1,Tomcat
48689,29325,8,Tomcat
48689,29427,7,Tomcat
46075,37230,5,Tomcat
49445,28203,2,Tomcat
49142,24990,1,Tomcat
48689,29121,3,Tomcat
